ID_Venta,Fecha_Venta,Fecha_Ingreso,ID_Cliente,Producto,Categoría,Talla,Color,Precio,Cantidad,Método_Pago,País_Origen,Satisfacción_Cliente,Edad_Cliente,Sexo_Cliente,Puntuación_Cliente
18,2022-01-18,,149,Chaqueta bomber,Chaquetas,m/l,Gris,104.32,2,Efectivo en divisas,China,Satisfechoo,20,Hombre,3
19,2022-01-19,,112,Chaqueta bomber,Chaquetas,s/m,Verde,116.74,2,Transferenciaa,México,Satisfecho,40,Hombre,2
20,2022-01-20,,55,Pantalón corto,Pantalones,28-30,Marrón,70.27,3,Efectivo en divisas,Italia,Muy satisfecho,49,Mujer,5
21,2022-01-21,2023-01-01 00:00:00.000000043,81,Franela básica,Franelas,M,Beige,27.49,3,Efectivo en divisas,China,Neutral,62,Mujer,3
22,2022-01-22,2023-07-10 00:00:00.000000000,116,Camisa manga larga,Camisas, Xs ,Negro,58.79,4,Transferencia,México,Satisfecho,33,Mujer,2
23,2022-01-23,,143,Pantalón vaquero,Pantalones,36-38,Verde,39.55,4,Efectivo en Bs,China,Satisfecho,22,Mujer,4
24,2022-01-24,2023-03-15 00:00:00.000000000,108,Pantalón vaquero,Pantalones,Talla única,Rojo,47.43,4,Punto de venta,India,Satisfecho,21,erbHom,99
25,2022-01-25,1999-01-01 00:00:00.000000000,53,Chaqueta denim,Chaquetas,XXL,Marrón,43.5,1,Efectivo en divisas,China,Neutra,38,Hombre,2
26,2022-01-26,,128,Zapatos deportivos,Zapatos,36,Verde,78.1,4,Efectivo en divisas,España,Satizfezho,57,Mujer,1
27,2022-01-27,,57,Camisa manga corta,Camisas,l,Negro,55.24,4,Efectivo en divisas,Italia,Muy satisfechoo,68,Hombre,2
28,2022-01-28,,52,Chaqueta de cuero,Chaquetas,s/m,Azul,76.31,3,Punto de venta,China,Insatisfecho,31,Hombre,2
29,2022-01-29,2023-03-15 00:00:00.000000000,137,luleFneo lcV aar,Franelas,XS,Negro,11.85,4,Efectivo en Bs,México,Muy satisfecho,56,Hombre,1
30,2022-01-30,1999-01-01 00:00:00.000000000,111,Camisa manga larga,Camisas,m,Gris,45.95,1,Efectivo en divisas,India,Muy insatisfecho,48,Hombre,1
31,2022-01-31,,1,FRANELA MANGA LARGA,Franelas,Tállá S,Rojo,13.14,1,Punto de venta,China,Satisfecho,31,Mujer,3
32,2022-02-01,,44,Camisa manga corta,Camisas, XS ,Beige,15.12,3,Trueque,China,Muy insatisfecho,23,,3
33,2022-02-02,2023-07-10 00:00:00.000000000,75,Camisa manga corta,Camisas,XS,Gris,18.8,4,Efectivo en divisas,Narnia,Insatisfechoo,29,Mujer,1
34,2022-02-03,,98,Botas,Zapatos,00,Gris,48.84,4,Transferencia,China,MUY SATISFECHO,33,Hombre,4
35,1900-01-01,,9,Cinturón,Accesorios,NAA,Blanco,15.63,1,Efectivo en divisas,India,Satisfecho,34,Mujer,4
36,2022-02-05,2023-03-15 00:00:00.000000000,32,Sandalias,Zapatos,42,Negro,77.81,4,Transferencia,México,Satisfecho,62,Hombre,2
37,1900-01-01,2023-03-15 00:00:00.000000000,15,Pantalón zhino,Pantalones,36-38,beige,18.35,4,Punto de venta,India,Neutral,40,Mujer,5
38,2022-02-07,2023-07-10 00:00:00.000000000,140,Camisa manga corta,Camisas,M,Blanco,47.1,4,punto de venta,China,Satisfecho,31,Hombré,2
39,2022-02-08,,136,Franela cuello V,Franelas,Talla M,Negro,20.23,2,Efectivo en divisas,China,Satisfecho,24,Hombr,2
40,2022-02-09,1999-01-01 00:00:00.000000000,72,Chaqueta bomber,Chaquetas,XL,Verde,51.79,3,Pago móvil,China,Satisfecho,63,Mujer,5
41,1900-01-01,,12,Camisa casual,Camisas,XXL,Rojo,38.97,2,Efectivo en divisas,Indiaa,Neutral,49,Hombre,1
42,2022-02-11,,65,Chaqueta bomber,Chaquetas,l/xl,Negro,69.62,0,Punto de venta,España,Muy satisfecho,32,Hombre,4
43,2022-02-12,2023-03-15 00:00:00.000000000,107,Camisa formal,CAMISAS,xxl,Marrón,15.9,1,Efectivo en divisas,China,Satisfecho,61,Hombre,2
44,2022-02-13,,42,Zapatos formales,Zapatos,36,Gris,49.03,4,Efectivo en divisas,España,Satisfecho,34,Mujer,5
45,2022-02-14,,115,Pantalón chino,Pantalonez,32-34,Verde,82.88,3,Efeztivo en divizaz,Méxicoo,Neutral,58,Hombre,3
46,2022-02-15,,139,Franela Manga Larga,Franelas,XS,Verde,23.58,2,Pago móvil,India,Muy satisfecho,64,Mujer,2
47,2022-02-16,,103,Pantalón deportivo,Pantalones,?,Marrón,249.23,4,Págo móvil,México,Satisfecho,61,Hombre,4
48,2022-02-17,2023-07-10 00:00:00.000000000,95,Chaqueta bomber,Chaquetas,XL,Rojo,99.08,1,Efectivo en divisas,India,Satisfecho,51,Hombre,1
49,2022-02-18,,17,Chaqueta denim,Chaquetas,m/l,Blanco,122.0,3,Efectivo en Bs,Italia,Neutral,22,Hombre,2
50,2022-02-19,,85,Camisa Formal,Camisass,xxl,Azul,20.74,3,Punto de venta,India,Ni idea,62,Mujer,2
51,2022-02-20,2023-01-01 00:00:00.000000043,56,Bufanda,Accesorios,--,Negro,21.34,3,Efectivo en divisa,India,Neutral,44,Hombre,5
52,2022-02-21,2023-07-10 00:00:00.000000000,134,Zapatos deportivos,tasZapo,37,Negro,51.99,4,Efectivo en Bs,China,Muy satisfecho,69,Hombre,3
53,2022-02-22,,86,Botás,aostapZ,41,Negro,84.52,2,Punto de venta,INDIA,Satisfecho,40,Hombre,3
54,2022-02-23,2023-01-01 00:00:00.000000043,102,Zapatos formales,Zapatos,Talla única,Beige,39.16,2,Efectivo en divisas,China,Neutral,57,Hombre,1
55,2022-02-24,2023-03-15 00:00:00.000000000,54,Franela estampada,Franelas,Talla S,Verde,14.92,3,Pago móvil,India,Muy satisfecho,31,Hombre,4
56,2022-02-25,2023-01-01 00:00:00.000000043,115,Sandalias,Zapatos,38-39,Negroo,37.91,1,Efectivo en divisas,China,Neutral,32,Mujer,1
57,2022-02-26,,139,Camisa casual,Camisas,s,Gris,55.35,1,Efectivo en divisas,Portugal,Muy satisfecho,60,Hombre,2
58,2022-02-27,2025-12-01 00:00:00.000000000,88,Camisa manga larga,CAMISAS,M,Gris,38.6,2,efectivo en divisas,España,Muy satisfecho,50,Hombre,2
59,2022-02-28,,49,Camisa manga corta,Camisas,XL,Gris,59.21,1,Punto de venta,India,Ni idea,48,Muje,3
60,2022-03-01,2023-07-10 00:00:00.000000000,149,Pantalón deportivo,Pantalones,38,Verde,50.86,2,Efectivo en divisas,China,Muy insatisfecho,52,Hombre,4
61,2022-03-02,2025-12-01 00:00:00.000000000,115,PANTALÓN CORTO,Pantaloness,34,Gris,2.66,0,Punto de venta,México,Muy satisfecho,34,F,5
62,2022-03-03,2023-07-10 00:00:00.000000000,63,Pantalón chino,Pantalones,28,Blanco,56.9,2,Efectivo en divisas,México,Satisfecho,45,Hombre,4
63,1900-01-01,,104,Zapatos deportivos,Zapatos,38,Marrón,103.88,2,Transferencia,España,Muy satisfecho,36,Mujer,2
64,2022-03-05,,83,Pantalón chino,Pantalones,28-30,Gris,55.98,3,Efectivo en divisas,China,Satisfecho,63,Hombr,5
65,2022-03-06,,103,Pantalón vaquero,Pantalones,36,Blanco,37.16,1,Efectivo en divisas,India,Muy satisfecho,40,Mujer,4
66,2022-03-07,,17,chaqueta denim,Chaquetas,XXX,Gris,86.8,2,Punto de venta,China,Satisfecho,49,Hombre,4
67,2022-03-08,,9999,Camisa formal,Camisas,L,AZUL,25.91,2,Efectivo en divisas,China,Satisfecho,57,Mujer,5
68,2022-03-09,,147,Botas,Zapatos,36,Marrón,84.96,3,Efectivo en Bs,Ezpaña,Insatisfecho,30,Hombre,2
69,2022-03-10,,28,Camisa manga corta,Camisas,XXL,Multicolor,41.16,1,Transferencia,España,Muy satisfecho,37,Mujer,4
70,1900-01-01,2023-03-15 00:00:00.000000000,38,Cinturón,Accesorios,N/A,Rojoo,26.65,2,Efectivo en divisas,India,Satisfecho,52,Mujer,5
71,2022-03-12,2023-03-15 00:00:00.000000000,119,Botas,Zapatos,38,Rojo,34.66,3,Punto de venta,México,Satisfecho,22,Mujer,2
72,2022-03-13,,37,Camisa casual,Camisas,s,Azul,67.22,2,Efectivo en divisas,India,Muy satisfecho,26,Hombre,5
73,2022-03-14,,115,Camisa manga larga,Camisas,ll,Azul,59.55,4,Punto de venta,India,Satisfecho,46,Hombre,5
74,2022-03-15,,68,Zapatos formales,Zapatos,43,Verde,102.89,3,Efectivo en divisas,India,Neutral,23,Hombre,4
75,2022-03-16,,43,Franela básica,Franelas,Talla M,Gris,23.63,1,efectivo en divisas,Portugal,Satisfecho,42,Hombre,2
76,2022-03-17,1999-01-01 00:00:00.000000000,58,Franela básica,Franelas,XS,Marrón,21.91,1,Pago móvil,China,Satisfecho,48,Herobm,4
77,2022-03-18,2023-07-10 00:00:00.000000000,13,Sandalias,Zapatos,41,Rojo,67.07,1,Punto de venta,Portugal,Ni idea,39,Mujer,1
78,2022-03-19,,52,Camisa casual,Camisas,XS,Gris,53.28,1,Efectivo en divisas,México,Muy insatisfecho,19,Hombre,1
79,2022-03-20,,58,Pantalón corto,Pantalones,Talla única,Negro,33.08,2,Efectivo en divisas,China,Neutral,62,Hombre,2
80,2022-03-21,,32,Camisa manga corta,Camisas,XXX,Negro,57.23,2,Transferencia,India,Neutral,22,Mujer,5
81,2022-03-22,,105,Sandalias,Zapatos,38,Marrón,35.98,1,Efectivo en divisas,México,Satisfecho,44,Mujer,4
82,2022-03-23,1999-01-01 00:00:00.000000000,83,Franela manga larga,Franelas,Talla S,Marrón,10.96,1,Punto de venta,India,Muy insatisfecho,42,Hombre,4
83,2022-03-24,,99,Pantalón vaquero,Pantaloness,28-30,Verde,78.82,1,Punto de venta,Portugal,Satisfecho,25,Mujer,2
84,2022-03-25,,104,Camisa formal,Camisas, S ,Blanco,50.98,2,Efectivo en Bs,Portugal,Muy satisfecho,18,Hombre,2
85,2022-03-26,,,Pantalón deportivo,Pantalones,36,Marrón,37.12,1,Efectivo en divisas,India,Insatisfecho,37,Mujer,1
86,2022-03-27,2023-01-01 00:00:00.000000043,129,Pantalón deportivo,Pantalones,36-38,Azul,84.01,1,Punto de venta,India,Satisfecho,61,Mujer,3
87,2022-03-28,,48,Franela básica,Franelas,XL,Beige,21.77,4,dafvit sevneEicsi o,Portugal,Muy satisfecho,40,Mujer,
88,2022-03-29,,40,Franela estampada,Franelas,Talla M,Marrón,24.28,4,Efectivo en divisas,Italia,Muy satisfecho,49,Mujer,3
89,2022-03-30,,97,Sandalias,tsaZopa,S/M,Beige,86.17,1,Pago móvil,China,Satisfecho,28,Hombre,2
90,2022-03-31,2023-03-15 00:00:00.000000000,114,Chaqueta de cuero,Chaquetas,m/l,Rojo,88.26,3,Efectivo en divisas,Chin,Satisfecho,56,Hombre,5
91,2022-04-01,2023-03-15 00:00:00.000000000,132,Camisa formal,Camisas,m,Negro,30.99,1,Punto de venta,India,Muy satisfecho,64,Mujer,5
92,2022-04-02,,137,Franela cuello V,Franelas,Talla M,Beige,20.64,4,Efectivo en divisas,Portugal,hfecasoSit,41,,1
93,2022-04-03,1999-01-01 00:00:00.000000000,111,Zapatos formales,Zapatos,43,Rojo,50.61,3,Efectivo en divisas,México,Muy satisfecho,28,Mujer,1
94,2022-04-04,,144,Franela cuello V,Franelas,M,Verde,18.63,3,Efectivo en Bs,italia,Muy insatisfecho,46,Hombre,3
95,2022-04-05,,76,Botas,Zapatos,42,Azul,95.75,1,Efectivo en divisas,China,Muy satisfecho,43,Hombree,2
96,2022-04-06,,31,Chaqueta deni,Chaquetas,l/xl,Blanco,58.34,4,Efectivo en divisass,China,Satisfecho,33,Hombre,4
97,1900-01-01,1999-01-01 00:00:00.000000000,119,Chaqueta bomber,Chaquetas,XXL,Marrón,94.5,4,Efectivo en divisas,México,Satisfecho,52,Hombre,1
98,2022-04-08,,142,Chaqueta denim,Chaquetas,?,Rojo,103.05,3,Punto de venta,China,Neutral,37,Mujer,4
99,1900-01-01,,25,Camisa formal,Camisas,XXL,Gris,48.86,1,Efectivo en divisas,China,Satisfecho,63,Mujer,4
100,2022-04-10,,34,Cámisá formál,Camisa,XL,Beige,50.04,2,Efectivo en divisas,China,Insatisfecho,20,Mujer,2
101,2022-04-11,2023-07-10 00:00:00.000000000,67,Camisa formal,Camisass, S ,Verde,24.2,2,Efectivo en divisas,Italia,Muy satisfecho,18,Mujer,3
102,2022-04-12,2025-12-01 00:00:00.000000000,118,Franela estampada,Franelas,S,Verde,19.88,4,Efectivo en Bs,Portugal,Muy satisfecho,64,Mujer,2
103,1900-01-01,2023-03-15 00:00:00.000000000,73,nanctlhaoPnió ,lsnteaaoPn,XXX,Verde,31.69,2,Efectivo en divisas,China,Neutral,18,Mujer,1
104,2022-04-14,,26,Chaqueta de cuer,Chaquetas,m/l,Griz,81.67,99,Efectivo en divisass,India,Muy satisfech,34,Hombre,4
105,2022-04-15,,148,Zapatos formales,Zapatos,43,negro,84.36,4,Efectivo en divisas,Italia,Muy satisfecho,19,Mujer,2
106,2022-04-16,,104,Pantalón deportivo,Pantalones,28-30,Marrón,34.74,4,Efectivo en Bs,Bangladés,Satizfezho,46,Hombre,2
107,2022-04-17,2025-12-01 00:00:00.000000000,10,Chaqueta bomber,Chaquetas,XL,Rojo,119.45,2,Efectivo en divisas,China,Satisfecho,37,Hombré,2
108,2022-04-18,,67,Zapatos deportivos,Zapatos,38-39,Marrón,87.7,4,Punto de venta,India,Neutral,23,Mujer,1
109,2022-04-19,,5,Pantalón deportivo,pantalones,34,Marrón,60.28,3,Efectivo en divisas,India,neutral,25,Hombre,3
110,2022-04-20,2023-07-10 00:00:00.000000000,27,Camisa manga larga,Camisas,xl,Blanco,30.56,1,Efectivo En Divisas,México,Neutral,46,Hombre,2
111,2022-04-21,,113,Pantalón deportivo,Pantalones,36-38,Negro,47.26,1,Punto de venta,India,Muy satisfecho,65,Hombre,1
112,2022-04-22,2025-12-01 00:00:00.000000000,15, Calsaamsicau,Camisas,s,Marrón,34.06,4,Efectivo en divisa,China,Insatisfecho,68,Hombre,4
113,2022-04-23,2025-12-01 00:00:00.000000000,105,Zapatos deportivos,Zapatos,38-39,Gris,43.8,1,Transferencia,Italia,Muy satisfechoo,50,Mujer,5
114,2022-04-24,,44,Zapatos formales,Zapatos,43,Roj,75.53,2,Efectivo en divisass,España,Neutral,20,HOMBRE,1
115,2022-04-25,,26,Franela básica,Franelas,XS,Verde,10.36,2,EFECTIVO EN DIVISAS,China,Satisfecho,52,Hombr,5
116,2022-04-26,,95,Sandalias,Zapatos,38-39,Rojo,113.89,1,Efectivo en divisas,México,Muy satisfecho,22,Hombre,2
117,2022-04-27,,84,Sandalias,ostaZpa,39,Negro,101.11,2,Efectivo en divisas,China,Muy satisfecho,44,Hombre,2
118,2022-04-28,2023-01-01 00:00:00.000000043,140,Camisa formal,Camisas,S/M,Verde,44.31,1,Punto de venta,India,Neutral,61,Mujer,1
119,2022-04-29,,132,Zapatos formales,Zapatos,XXX,Verde,63.7,1,Efectivo en divisas,India,Satisfecho,29,Hombre,5
120,2022-04-30,,87,Chaqueta de cuero,Chaquetaz,s/m,Negro,48.51,1,Transferencia,España,SATISFECHO,37,Mujer,2
121,2022-05-01,,112,Zapatos deportivos,Zapatos,XXX,Verde,105.64,4,Efectivo en divisas,India,Muy insatisfecho,62,Mujer,4
122,2022-05-02,,129,Botas,Zapatos,422,Marrón,41.05,1,Efectivo en divisas,Méxizo,neutral,37,,3
123,2022-05-03,,89,Pantalón vaquero,Pantalones,36,Azul,35.76,4,Efectivo en divisas,España,Satisfecho,26,Mujer,3
124,2022-05-04,,66,Camisa manga corta,camisas,XXL,Blanco,52.69,1,Efectivo en Bs,Italia,Satisfecho,56,Mujer,2
125,2022-05-05,2025-12-01 00:00:00.000000000,131,Pantalón vaquero,Pantalones,38,Azul,58.72,1,Efectivo en divisas,España,satisfecho,21,Hombre,5
126,2022-05-06,,122,Chaqueta invierno,Chaquetas,m/l,Azull,83.89,1,Punto de venta,España,Satisfecho,68,Hombree,2
127,2022-05-07,2023-07-10 00:00:00.000000000,149,Zapatos formales,Zapatos,0,Verde,60.17,2,Transferencia,China,Satisfecho,36,Hombre,99
128,2022-05-08,,84,Sandalias,Zapatos,Talla única,Rojo,30.42,4,Efectivo en divisas,India,satisfecho,55,Mujer,4
129,2022-05-09,,116,Camisa formal,Camisass,999,Marrón,32.92,4,Punto de venta,Portugal,Satisfecho,999,Hombre,5
130,2022-05-10,2023-01-01 00:00:00.000000043,116,Chaqueta de cuero,Chaquetas,S/M,Verde,141.18,1,Pago móvil,China,Muy satisfecho,62,Hombre,2
131,2022-05-11,,38,Chaqueta denim,Chaquetas,m/l,Blanco,78.16,1,Transferencia,España,Satisfecho,60,Hombre,4
132,2022-05-12,1999-01-01 00:00:00.000000000,143,Pantalón zhino,Pantalones,28,Marrón,63.16,2,Efectivo en divisas,Bangladés,Muy satisfecho,30,Hombre,1
133,1900-01-01,2023-01-01 00:00:00.000000043,110,Camisa manga larga,Camisass,xxl,Beige,56.07,2,Punto de venta,China,Neutral,30,Hombré,3
134,2022-05-14,2023-07-10 00:00:00.000000000,46,Pantalón chino,Pantalones,28-30,Gris,62.55,2,Efectivo en divisas,ITALIA,Satisfecho,39,Otro,2
135,2022-05-15,2023-01-01 00:00:00.000000043,25,Sandalias,Zapatos,41,Negro,33.05,4,Pago móvil,Indi,Neutral,45,Hombre,2
136,2022-05-16,,21,Pantalón vaquero,Pantalones,28,Azul,75.73,4,Pago con puntos,India,Satisfecho,69,Mujer,2
137,2022-05-17,2025-12-01 00:00:00.000000000,121,Chaqueta bomber,Chaquetas,s/m,Verde,64.21,4,Efectivo en divisas,China,Satisfecho,64,MUJER,4
138,2022-05-18,1999-01-01 00:00:00.000000000,122,Franela estampada,Franelas,XL,Rojo,20.3,1,Punto de venta,China,Muy satisfecho,62,Hombre,1
139,2022-05-19,,133,pantalón vaquero,Pantalones,34,Rojo,54.83,4,Efectivo en divisas,Italia,schtIfasioen,39,Hombre,5
140,2022-05-20,2025-12-01 00:00:00.000000000,70,Bolso,Accesorios,NA,Gris,430.32,3,Pago móvil,México,Satisfecho,60,Hombre,1
141,2022-05-21,,113,Cinturón,Accesorios,--,Blanco,13.3,3,Pago móvil,ESPAÑA,Satisfecho,36,Hombr,4
142,2022-05-22,,107,Pantalón deportivo,Pantalones,Talla única,blanco,45.15,2,Punto de venta,India,Insatisfecho,25,Mujer,2
143,2022-05-23,1999-01-01 00:00:00.000000000,112,Chaqueta denim,Chaquetas,m/l,Gris,86.95,4,Efectivo en divisass,china,Neutral,69,Hombre,3
144,2022-05-24,1999-01-01 00:00:00.000000000,108,Pantalón corto,Pantalones,32,Blanco,47.71,3,Punto dé véntá,Italia,Neutral,25,Hombre,2
145,2022-05-25,2023-03-15 00:00:00.000000000,47,Pantalón chino,Pantalones,28,Verde,27.38,2,efectivo en bs,China,neutral,59,Muje,5
146,2022-05-26,,91,Camisa casual,Camisas,s,Blanco,41.44,4,Efectivo en Bs,Portugal,Neutral,43,Mujer,3
147,2022-05-27,,18,Franela básica,Franelas,Talla SS,Marrón,24.28,1,Transferencia,Méxic,Neutral,65,Mujer,2
148,2022-05-28,,149,Chaqueta denim,Chaquetas,M,Rojo,98.79,3,Efectivo En Divisas,España,Neutral,68,Mujer,3
149,2022-05-29,,104,Camisa formal,Camisas,S,Marrón,37.37,1,Efectivo en divisas,Portugal,Satizfezho,43,Mujer,1
150,1900-01-01,2025-12-01 00:00:00.000000000,40,Pantalón deportivo,Pántálonés,Talla única,Verde,36.83,4,Pago móvil,China,Satizfezho,40,Hombr,4
151,2022-05-31,,138,Zapatos formales,Zapatos,42,Azul,115.15,3,Efectivo en divisas,España,Muy satisfecho,60,mujer,2
152,2022-06-01,2023-01-01 00:00:00.000000043,89,Pantalón Corto,pantalones,36-38,Negro,135.38,4,Efectivo en divisas,India,Satisfecho,30,Hombre,5
153,2022-06-02,,61,Camisa casuall,Camisas,S,Negro,33.39,1,Pago móvil,Portugal,Muy satisfecho,45,Mujer,1
154,2022-06-03,,5,Chaqueta bomber,Chaquetas,m/l,Rojo,57.18,3,Efectivo en divisas,China,Muy satisfecho,26,Mujer,2
155,2022-06-04,2023-03-15 00:00:00.000000000,122,Gorro,Accesorio,N/A,Marrón,34.65,1,Punto de venta,pEñaas,Satizfezho,37,Hombre,1
156,2022-06-05,2025-12-01 00:00:00.000000000,55,Pantalón vaquero,Pantalones,32-34,Griz,39.43,4,PAGO MÓVIL,México,Satisfecho,36,Mujer,5
157,2022-06-06,,37,Franela manga larga,Franelas,Talla M,Verde,23.44,4,Pago móvil,China,Muy satisfecho,65,Mujer,2
158,2022-06-07,2025-12-01 00:00:00.000000000,56,Zapatos formales,Zapatos,43,Negro,39.37,1,Punto de venta,India,Neutral,56,Hombr,5
159,2022-06-08,,102,Pantalón deportivo,Pantalones,36,Verde,36.61,3,Efectivo en divisas,Españaa,Neutral,68,Mujerr,3
160,2022-06-09,,93,Franela básica,Franelas,L,Beige,14.76,1,,India,Satisfecho,29,Hombre,5
161,2022-06-10,1999-01-01 00:00:00.000000000,73,Pantalón chino,Pantalones,32,Negro,40.81,4,Tránsférénciá,China,Satizfezho,32,Mujer,3
162,2022-06-11,,59,Franela estampada,Franelas,Talla S,Verde,26.6,1,Transferencia,China,Muy insatisfecho,48,Mujér,2
163,2022-06-12,,2,Franela manga larga,Franelas,L,Rojo,23.36,4,Efectivo en divisas,China,Muy satisfech,31,Mujer,3
164,2022-06-13,1999-01-01 00:00:00.000000000,104,Chaqueta de cuero,Chaquetas,s/m,Azul,72.25,1,Efectivo en divisas,México,Satisfecho,28,mujer,2
165,2022-06-14,,51,Camisa manga corta,Camisas,00,Blanco,15.59,3,Efectivo en divisas,Atlántida,Satisfecho,43,Mujer,2
166,2022-06-15,2023-07-10 00:00:00.000000000,30,Botas,Zapatos,36,Negro,48.71,3,Efectivo en Bs,China,Muy satisfecho,59,Mujer,4
167,2022-06-16,,11,Pantalón deportivo,Pantalones,32,Rojo,291.52,1,Punto de venta,India,Satisfecho,44,HOMBRE,2
168,2022-06-17,,108,Camisa manga corta,Camisas,S,Marrón,55.17,1,Efectivo en divisas,India,Muy satisfecho,999,Mujer,3
169,2022-06-18,,76,Camisa manga larg,Camizaz,XL,Marrónn,30.38,3,Pago móvil,Chin,Satisfecho,55,Hombre,4
170,2022-06-19,,90,Franela estampada,Franelas,Talla M,Beige,17.59,4,Punto de venta,India,Insatisfecho,51,Mujer,4
171,2022-06-20,,123,Franela cuello V,Franelas,Talla M,Marrón,15.36,3,Efectivo en divisas,India,Muy satisfecho,60,Hombre,2
172,2022-06-21,,125,Camisa formal,Camisas,XL,Azul,204.71,4,Punto de venta,India,Satisfecho,36,Hombr,5
173,2022-06-22,,122,Chaqueta denim,Chaquetas,S,Negro,87.97,1,Efectivo en divisas,España,Muy satisfecho,23,Mujer,5
174,2022-06-23,1999-01-01 00:00:00.000000000,94,Pantalon corto,Pantalones,S/M,Beige,86.65,1,Efectivo en divisas,China,Muy satisfecho,63,Hombre,4
175,2022-06-24,,103,Franela estampada,Franelas,L,Beige,12.8,4,Punto de venta,Italia,Muy satisfecho,69,Hombre,2
176,2022-06-25,,31,Camisa casual,Camisas, S ,Marrón,36.93,1,Transferencia,INDIA,Sátisfécho,55,Hombre,5
177,2022-06-26,1999-01-01 00:00:00.000000000,52,Franela estampada,Franelas,Talla M,Gris,26.0,4,Transferencia,India,muy satisfecho,66,Hombre,2
178,2022-06-27,,89,Pantalón vaquero,Pantalones,30,Blanco,26.46,2,Efectivo en divisas,Italia,satisfecho,59,Hombre,2
179,2022-06-28,,76,Zapatos deportivos,Zapatos,44,Blanco,78.75,3,Efectivo en Bs,India,Satisfechoo,45,bHmoer,4
180,2022-06-29,2025-12-01 00:00:00.000000000,129,Camisa formal,Camisas,m,Márrón,26.6,2,Punto de venta,México,Muy satisfecho,18,Hombre,4
181,2022-06-30,1999-01-01 00:00:00.000000000,22,Pantalón chino,Pantalones,38,Negro,79.27,4,Efectivo en divisas,Italia,Néutrál,52,Hombre,1
182,2022-07-01,,40,Camisa manga corta,Camisas,l,Negr,38.66,3,Efectivo en divisas,India,Satisfecho,57,Meujr,5
183,2022-07-02,2023-03-15 00:00:00.000000000,101,Zapatos formales,Zapatos,37,Azul,54.51,4,Efectivo en Bs,México,Muy satisfecho,25,Hombre,5
184,2022-07-03,,111,Botas,Zapatos,41,Verde,112.29,3,Punto de venta,Italia,Satisfecho,69,Mujer,5
185,2022-07-04,,129,Pantalón vaquero,Pantalones,36-38,Negro,62.47,3,Efectivo en divisas,China,Satisfecho,64,Mujerr,3
186,2022-07-05,,65,Franela estampada,Franelas,S,Azul,21.08,3,Punto de venta,China,Muy satisfecho,24,Hombre,2
