ID_Evento,Año_Evento,Ciudad,Asistentes,Estilo_Danza,Nivel_Artista,¿Pago?,Precio_Entrada (USD),Tipo_Evento,Patrocinador,¿Streaming?,Duración_Evento (hrs),Valoración_Público,Fecha_Evento
3031,2025,Madrid,441.4,Salsa,Semiprofesional,Sí,10.31,,Nike,si,24.0,3,2022-01-02
3032,2024,Buenos Aires,126.0,Ballet,Avanzado,Sí,31.46,Taller,Nike,NO,0.1,3,2024-04-23
3033,2017,Madrid,454.8,Contemporáneo,Élite,Sí,80.74,Gala,Local,SÍ,36.0,5,2020-02-07
3034,2021,Lima,300.0,Salsa,Principiante,Sí,96.21,Exhibición,Gobierno,No,2.5,3,2015-04-26
3035,2018,Bogotá,181.6,Urbano,Intermedio,No,79.0,Exhibición,Gobierno,Sí,18.0,3,2023-03-08
3036,2023,Madrid,357.0,Salsa,Principiante,Sí,69.06,Taller,Adidas,No,0.5,4,2021-07-12
3037,2017,Ciudad de México,246.0,Flamenco,Élite,No,52.13,Festival,Nike,Sí,2.2,2,2017-05-30
3038,2019,Buenos Aires,195.2,Urbano,Avanzado,Sí,8.67,Gala,Gobierno,Sí,1.0,4,2022-08-16
3039,2017,Ciudad de México,355.5,Flamenco,Principiante,No,95.82,Taller,Local,No,8.0,4,2017-04-19
3040,2021,Buenos Aires,131.9,Salsa,Élite,Sí,75.84,Gala,Ninguno,No,6.7,1,2021-01-03
3041,2019,Buenos Aires,171.8,Contemporáneo,Élite,Sí,63.89,,Local,No,7.5,0,2024-12-25
3042,2023,Ciudad de México,222.9,Flamenco,Avanzado,Sí,75.9,Exhibición,Adidas,No,9.7,6,2018-09-08
3043,2021,Ciudad de México,134.3,Salsa,Avanzado,No,72.41,Exhibición,Adidas,No,8.1,10,2021-10-26
3044,2016,Caracas,208.5,Contemporáneo,Intermedio,No,63.72,Competencia,Adidas,Sí,2.9,7,2022-11-24
3045,2018,Madrid,290.0,Contemporáneo,Avanzado,Sí,98.06,Exhibición,Nike,Sí,5.0,-1,2017-11-02
3046,2023,Bogotá,373.1,Ballet,Élite,Si,90.34,Festival,Nike,No,11.0,12,2017-07-31
3047,2016,Bogotá,385.9,Ballet,Élite,Sí,64.67,Festival,Adidas,No,9.5,4,2024-10-05
3048,2024,Madrid,413.2,Contemporáneo,Principiante,Sí,69.32,Taller,Adidas,,7.1,4,2019-09-21
3049,2023,Madrid,374.7,Ballet,Principiante,Sí,5.16,Exhibición,Adidas,No,3.8,4,2021-05-23
3050,2024,Lima,343.7,Salsa,Principiante,Sí,66.99,Taller,Adidas,No,4.3,2,2022-07-30
3051,2019,Madrid,126.4,Urbano,Élite,Sí,4.42,Exhibición,Gobierno,No,9.1,3,2018-02-11
3052,2016,Caracas,206.1,Urbano,Élite,Si,58.83,Taller,Ninguno,No,10.4,5,2021-12-02
3053,2018,Buenos Aires,244.1,Salsa,Principiante,Si,99.94,Festival,Gobierno,,8.4,3,2015-01-22
3054,2021,Caracas,50.6,Ballet,Élite,Sí,55.58,,Gobierno,No,9.9,3,2024-05-13
3055,2022,Caracas,268.9,Urbano,Semiprofesional,Sí,47.32,Gala,Local,No,9.4,2,2019-10-16
3056,2017,Madrid,223.8,Flamenco,Élite,Si,31.29,Gala,Nike,No,2.6,3,2016-11-13
3057,2015,Bogotá,403.0,Hip Hop,Principiante,No,12.05,Taller,Adidas,,5.7,1,2024-12-16
3058,2018,Bogotá,489.2,Flamenco,Élite,Sí,73.1,Taller,Gobierno,Sí,2.7,4,2023-02-01
3059,2016,Lima,282.4,Hip Hop,Élite,Si,19.26,Taller,Gobierno,Sí,3.6,1,2020-01-08
3060,2022,Bogotá,168.1,Urbano,Avanzado,No,11.53,Festival,Gobierno,No,10.6,5,2021-06-25
3061,2018,Lima,31.3,Salsa,Élite,Si,42.18,Gala,Nike,Sí,6.2,4,2015-05-06
3062,2016,Ciudad de México,463.1,Urbano,Avanzado,Sí,79.53,Gala,Adidas,No,6.9,3,2015-10-04
3063,2020,Caracas,460.4,Flamenco,Principiante,Sí,74.51,Taller,Ninguno,No,3.0,5,2020-06-22
3064,2020,Caracas,134.0,Salsa,Semiprofesional,Sí,5.49,Gala,Gobierno,Sí,4.4,4,2018-05-12
3065,2024,Bogotá,350.8,Hip Hop,Intermedio,No,45.51,Festival,Nike,Sí,3.5,3,2021-02-19
3066,2018,Caracas,47.0,Ballet,Intermedio,No,52.24,Gala,Ninguno,Sí,3.3,1,2024-11-27
3067,2020,Bogotá,91.4,Salsa,Avanzado,Gratis,64.45,Competencia,Nike,Sí,8.0,4,2016-11-26
3068,2016,Bogotá,116.2,Hip Hop,Élite,No,65.02,Competencia,Ninguno,No,3.8,3,2018-08-02
3069,2024,Madrid,154.3,Urbano,Intermedio,No,36.47,Competencia,Gobierno,Sí,8.0,1,2015-02-26
3070,2016,Madrid,498.0,Contemporáneo,Avanzado,No,56.07,Gala,Ninguno,No,1.6,5,2024-03-28
3071,2024,Caracas,351.5,Ballet,Avanzado,No,48.11,Taller,Ninguno,,2.6,5,2023-11-09
3072,2018,Bogotá,198.3,Hip Hop,Principiante,Si,88.5,Taller,Gobierno,Sí,4.0,5,2015-01-19
3073,2022,Bogotá,371.2,Contemporáneo,Intermedio,Si,53.03,Festival,Ninguno,Sí,7.6,5,2024-06-03
3074,2021,Bogotá,458.5,Contemporáneo,Intermedio,No,44.1,Festival,Gobierno,Sí,8.4,2,2021-04-30
3075,2023,Caracas,479.8,Salsa,Intermedio,Sí,40.45,Exhibición,Adidas,Sí,5.9,4,2022-10-12
3076,2022,Buenos Aires,38.4,Ballet,Principiante,Sí,57.24,Gala,Local,No,5.9,4,2015-04-23
3077,2019,Ciudad de México,203.3,Salsa,Avanzado,No,80.4,Taller,Local,No,9.0,2,2024-09-29
3078,2016,Madrid,62.3,Contemporáneo,Avanzado,No,53.84,Gala,Adidas,No,1.2,3,2024-04-21
3079,2019,Ciudad de México,174.5,Contemporáneo,Principiante,No,66.17,Taller,Adidas,No,4.8,3,2016-06-25
3080,2022,Ciudad de México,93.1,Ballet,Intermedio,Sí,73.79,Exhibición,Gobierno,No,10.0,5,2022-05-18
3081,2024,Bogotá,327.0,Flamenco,Intermedio,Sí,52.02,Festival,Local,No,7.6,1,2016-08-01
3082,2023,Caracas,200.3,Contemporáneo,Avanzado,Si,42.68,Festival,Ninguno,No,4.7,3,2017-12-24
3083,2023,Ciudad de México,122.4,Urbano,Principiante,Sí,87.67,Gala,Adidas,No,11.0,1,2024-03-17
3084,2015,Caracas,140.3,Hip Hop,Avanzado,Sí,41.75,Exhibición,Adidas,No,9.5,4,2015-01-25
3085,2023,Bogotá,186.6,Flamenco,Avanzado,Gratis,46.19,Taller,Gobierno,Sí,3.9,1,2019-04-22
3086,2021,Caracas,137.4,Salsa,Principiante,No,99.03,Taller,Nike,Sí,8.1,4,2020-08-10
3087,2023,Buenos Aires,232.1,Flamenco,Principiante,Gratis,0.02,Taller,Gobierno,Sí,7.6,2,2023-02-06
3088,2022,Ciudad de México,25.8,Flamenco,Intermedio,Sí,18.55,Festival,Adidas,Sí,5.4,2,2019-04-22
3089,2015,Caracas,147.1,Ballet,Élite,Sí,38.4,Exhibición,Nike,No,5.0,5,2015-05-21
3090,2022,Bogotá,211.5,Flamenco,Semiprofesional,Sí,93.26,Taller,Adidas,No,4.8,3,2019-11-03
3091,2022,Caracas,305.4,Ballet,Élite,Sí,7.0,Exhibición,Local,Sí,7.8,5,2016-10-09
3092,2025,Lima,142.8,Contemporáneo,Avanzado,Sí,0.95,Exhibición,Local,No,5.9,4,2021-02-13
3093,2017,Ciudad de México,75.3,Flamenco,Principiante,Sí,5.27,Gala,Local,No,10.2,5,2023-10-05
3094,2015,Bogotá,47.3,Salsa,Avanzado,No,8.85,Festival,Adidas,No,8.4,1,2015-07-20
3095,2022,Lima,470.9,Salsa,Avanzado,No,3.76,Exhibición,Local,Sí,1.8,4,2023-10-04
3096,2017,Bogotá,214.2,Salsa,Principiante,No,47.98,Festival,Gobierno,No,8.0,2,2015-09-14
3097,2017,Buenos Aires,294.8,Contemporáneo,Principiante,Sí,58.08,Competencia,Local,Sí,4.0,3,2016-06-30
3098,2015,Caracas,460.4,Hip Hop,Élite,Sí,27.17,Gala,Gobierno,No,7.5,4,2021-02-19
3099,2025,Ciudad de México,50.5,Ballet,Principiante,Sí,39.83,Exhibición,Local,Sí,8.5,4,2022-07-13
3100,2019,Ciudad de México,439.6,Urbano,Intermedio,No,9.17,Taller,Gobierno,No,3.5,1,2023-09-11
3101,2024,Caracas,280.3,Ballet,Élite,No,33.64,Festival,Adidas,No,6.0,3,2024-11-15
3102,2021,Ciudad de México,90.8,Flamenco,Intermedio,Sí,52.25,,Local,No,3.1,2,2024-02-19
3103,2024,Buenos Aires,211.5,Contemporáneo,Intermedio,Gratis,73.23,Gala,Ninguno,Sí,1.6,4,2017-03-12
3104,2023,Caracas,391.0,Flamenco,Principiante,Sí,0.33,Competencia,Nike,No,5.2,4,2017-07-30
3105,2021,Madrid,245.4,Hip Hop,Avanzado,Sí,46.73,Exhibición,Local,Sí,5.0,1,2024-06-17
3106,2023,Ciudad de México,492.8,Urbano,Avanzado,Gratis,29.7,Festival,Local,Sí,12.0,5,2024-02-14
3107,2022,Madrid,194.6,Urbano,Principiante,Sí,85.28,Competencia,Local,No,5.9,2,2016-02-18
3108,2016,Ciudad de México,377.3,Ballet,Intermedio,Si,71.56,Festival,Gobierno,Sí,4.7,3,2020-07-07
3109,2015,Caracas,202.6,Flamenco,Avanzado,No,58.91,Exhibición,Ninguno,Sí,7.4,4,2018-10-13
3110,2021,Caracas,416.3,Flamenco,Semiprofesional,No,27.73,Taller,Adidas,Sí,2.0,4,2018-01-03
3111,2021,Ciudad de México,288.8,Flamenco,Intermedio,Sí,91.03,Gala,Gobierno,,11.6,2,2024-05-19
3112,2022,Buenos Aires,41.1,Salsa,Avanzado,Si,4.51,Gala,Gobierno,No,8.0,5,2017-06-28
3113,2019,Buenos Aires,28.0,Urbano,Principiante,Gratis,10.95,Gala,Adidas,No,9.3,4,2015-07-07
3114,2017,Bogotá,75.6,Contemporáneo,Intermedio,Si,39.16,Taller,Ninguno,No,2.9,2,2020-07-08
3115,2022,Bogotá,16.7,Ballet,Élite,Gratis,12.44,Taller,Nike,No,5.5,1,2018-08-06
3116,2020,Buenos Aires,46.9,Hip Hop,Principiante,Gratis,95.64,Competencia,Adidas,Sí,5.6,5,2020-09-23
3117,2025,Buenos Aires,348.9,Contemporáneo,Élite,No,79.8,Festival,Nike,No,10.0,3,2024-12-23
3118,2017,Buenos Aires,271.8,Flamenco,Principiante,Sí,25.9,Competencia,Gobierno,No,1.0,4,2020-10-31
3119,2015,Ciudad de México,377.5,Salsa,Semiprofesional,Sí,58.86,Gala,Local,Sí,4.3,2,2018-02-20
3120,2017,Madrid,457.5,Flamenco,Intermedio,Sí,98.23,Festival,Local,Sí,11.8,1,2015-12-24
3121,2019,Madrid,296.7,Contemporáneo,Intermedio,Si,88.42,Competencia,Local,Sí,6.2,3,2019-04-01
3122,2017,Bogotá,365.8,Contemporáneo,Avanzado,Sí,60.08,Taller,Adidas,No,5.2,2,2017-12-25
3123,2015,Bogotá,381.0,Hip Hop,Élite,Sí,90.37,Competencia,Nike,Sí,2.3,2,2023-03-03
3124,2019,Ciudad de México,195.1,Flamenco,Avanzado,No,98.92,Festival,Ninguno,No,11.7,3,2019-08-08
3125,2024,Ciudad de México,128.1,Flamenco,Semiprofesional,Sí,74.34,Gala,Local,No,1.2,1,2021-08-19
3126,2021,Cdmx,110.5,Flamenco,Principiante,Sí,6.5,Exhibición,Adidas,No,9.1,1,2015-06-11
3127,2021,Madrid,133.2,Urbano,Avanzado,Si,40.16,Exhibición,Local,Sí,9.5,5,2024-06-13
3128,2025,Bogota,144.6,Urbano,Principiante,Sí,83.78,Exhibición,Nike,Sí,3.7,4,2024-05-22
3129,2023,Ciudad de México,111.5,Hip Hop,Intermedio,Sí,23.06,Festival,Ninguno,Sí,8.4,3,2023-12-04
3130,2024,Caracas,440.3,Flamenco,Semiprofesional,Si,83.06,Festival,Ninguno,Sí,2.0,3,2021-06-27
3131,2024,Ciudad de México,380.9,Urbano,Intermedio,Sí,12.03,Taller,Adidas,No,3.8,3,2016-03-25
3132,2017,Bogotá,33.0,Salsa,Intermedio,Gratis,4.69,Exhibición,Nike,No,9.7,1,2019-02-06
3133,2021,Lima,141.6,Contemporáneo,Intermedio,No,38.41,Competencia,Ninguno,,10.5,4,2017-11-02
3134,2015,Cdmx,20.9,Ballet,Principiante,Sí,3.67,Gala,Gobierno,No,7.7,5,2021-02-09
3135,2018,Bogotá,254.1,Flamenco,Avanzado,Sí,95.73,,Nike,No,6.6,2,2020-11-28
3136,2018,Ciudad de México,243.3,Hip Hop,Principiante,No,82.62,Exhibición,Adidas,Sí,2.8,2,2020-05-04
3137,2019,Bogotá,417.4,Contemporáneo,Élite,Sí,80.08,Taller,Gobierno,Sí,1.7,3,2021-12-30
3138,2021,Bogotá,160.8,Contemporáneo,Principiante,Sí,62.98,Festival,Adidas,,2.3,4,2018-08-06
3139,2021,Lima,410.0,Salsa,Élite,No,21.63,Taller,Gobierno,No,3.5,1,2021-05-31
3140,2025,Ciudad de México,484.3,Urbano,Élite,Si,51.83,Competencia,Nike,No,4.8,4,2024-08-23
3141,2018,Lima,53.3,Contemporáneo,Principiante,Sí,59.73,Gala,Local,Sí,5.2,4,2023-01-30
3142,2021,Lima,398.0,Hip Hop,Semiprofesional,No,52.5,,Local,No,4.8,1,2018-05-23
3143,2025,Lima,299.1,Flamenco,Semiprofesional,No,26.02,Festival,Adidas,No,3.6,3,2017-08-31
3144,2017,Caracas,245.2,Hip Hop,Avanzado,No,51.52,Gala,Gobierno,Sí,6.6,4,2016-09-23
3145,2020,Bogotá,216.1,Ballet,Élite,Sí,49.12,Taller,Ninguno,No,10.1,2,2019-05-10
3146,2016,Ciudad de México,394.5,Ballet,Principiante,Sí,99.63,Festival,Adidas,No,4.1,1,2017-11-16
3147,2024,Buenos Aires,323.3,Contemporáneo,Intermedio,No,89.74,Gala,Local,Sí,11.4,5,2022-08-12
3148,2023,Lima,404.5,Contemporáneo,Élite,No,46.34,Exhibición,Local,Sí,10.6,3,2024-01-16
3149,2019,Bogotá,452.5,Flamenco,Intermedio,No,62.29,,Ninguno,Sí,2.8,1,2019-05-08
3150,2020,Bogotá,312.5,Urbano,Avanzado,Sí,74.79,Exhibición,Nike,Sí,9.6,5,2021-06-26
3151,2018,Ciudad de México,490.4,Contemporáneo,Principiante,Gratis,3.49,Exhibición,Local,No,7.3,5,2023-02-08
3152,2025,Bogotá,308.0,Contemporáneo,Semiprofesional,Sí,89.49,Festival,Adidas,Sí,7.2,4,2024-01-18
3153,2024,Bogotá,322.0,Urbano,Principiante,Si,86.01,Competencia,Nike,Sí,5.3,4,2019-08-21
3154,2021,Bogotá,281.9,Urbano,Principiante,Sí,45.74,Competencia,Local,No,6.5,4,2016-03-12
3155,2023,Madrid,54.6,Hip Hop,Principiante,Sí,39.12,Exhibición,Adidas,Sí,5.4,1,2022-09-29
3156,2021,Buenos Aires,365.9,Flamenco,Avanzado,Si,27.3,Exhibición,Nike,Sí,6.9,1,2019-04-06
3157,2015,Caracas,278.2,Hip Hop,Intermedio,Sí,47.67,,Gobierno,,7.9,3,2024-07-06
3158,2015,Caracas,230.9,Urbano,Intermedio,Si,4.44,Festival,Gobierno,No,8.4,4,2017-12-12
3159,2023,Caracas,456.1,Flamenco,Semiprofesional,Gratis,85.22,Taller,Adidas,No,6.9,5,2024-04-07
3160,2025,Caracas,156.0,Urbano,Principiante,Sí,3.54,Taller,Local,,8.9,2,2018-07-28
3161,2023,Madrid,266.6,Flamenco,Avanzado,No,32.91,Taller,Nike,Sí,2.6,3,2022-08-05
3162,2018,Madrid,351.8,Salsa,Élite,No,93.16,Competencia,Nike,Sí,3.3,1,2020-09-09
3163,2023,Lima,400.3,Hip Hop,Intermedio,Sí,73.52,Exhibición,Nike,Sí,10.0,3,2021-07-12
3164,2017,Buenos Aires,235.1,Flamenco,Élite,Sí,28.14,Exhibición,Local,Sí,4.5,3,2015-07-02
3165,2021,Bogotá,422.6,Urbano,Semiprofesional,Sí,25.26,Gala,Nike,No,1.3,3,2023-06-22
3166,2020,Cdmx,386.8,Salsa,Principiante,Sí,0.51,Gala,Nike,Sí,2.7,3,2022-02-04
3167,2022,Lima,42.5,Ballet,Élite,No,69.57,Taller,Ninguno,Sí,3.5,2,2019-01-09
3168,2025,Bogotá,32.5,Hip Hop,Intermedio,No,4.88,Taller,Gobierno,Sí,11.5,4,2023-08-12
3169,2023,Bogotá,314.2,Urbano,Avanzado,Sí,53.26,Festival,Adidas,No,7.3,5,2023-06-09
3170,2019,Lima,180.2,Hip Hop,Avanzado,Si,96.21,Gala,Nike,Sí,11.3,3,2024-09-25
3171,2015,Ciudad de México,112.5,Urbano,Intermedio,Sí,10.95,Exhibición,Gobierno,Sí,7.3,3,2019-01-19
3172,2017,Bogotá,294.0,Contemporáneo,Avanzado,Sí,89.45,Gala,Local,Sí,6.3,3,2019-05-09
3173,2024,Caracas,177.4,Contemporáneo,Principiante,Sí,99.15,Gala,Ninguno,No,4.5,4,2019-05-07
3174,2022,Buenos Aires,273.3,Contemporáneo,Avanzado,Sí,6.15,Competencia,Adidas,No,7.7,1,2016-10-21
3175,2025,Madrid,235.5,Urbano,Avanzado,Si,88.29,Competencia,Ninguno,Sí,2.5,1,2015-06-09
3176,2020,Caracas,296.5,Urbano,Avanzado,Sí,51.61,Gala,Local,No,10.9,2,2023-06-13
3177,2022,Madrid,206.1,Hip Hop,Principiante,Sí,90.65,Taller,Ninguno,No,10.1,1,2023-11-24
3178,2023,Caracas,351.9,Contemporáneo,Avanzado,No,57.13,Festival,Gobierno,Sí,4.5,3,2021-09-25
3179,2018,Bogotá,98.2,Ballet,Intermedio,Sí,66.21,Taller,Gobierno,Sí,11.5,3,2017-10-08
3180,2015,Caracas,351.3,Salsa,Principiante,Gratis,54.38,Gala,Gobierno,No,10.1,3,2015-02-22
3181,2015,Madrid,211.7,Flamenco,Principiante,No,86.45,Exhibición,Nike,Sí,8.3,2,2021-09-21
3182,2024,Madrid,438.4,Salsa,Élite,No,73.39,Taller,Ninguno,No,2.3,3,2022-12-04
3183,2018,Buenos Aires,262.5,Salsa,Intermedio,Sí,52.13,Gala,Gobierno,No,6.3,1,2017-11-11
3184,2021,Madrid,486.8,Hip Hop,Intermedio,No,86.82,,Gobierno,No,6.6,4,2017-11-19
3185,2016,Caracas,304.9,Ballet,Intermedio,No,24.53,Festival,Gobierno,,3.6,4,2022-07-13
3186,2017,Buenos Aires,119.7,Hip Hop,Intermedio,No,15.73,Festival,Local,No,1.9,5,2021-04-26
3187,2015,Buenos Aires,412.7,Flamenco,Principiante,No,16.04,Exhibición,Adidas,Sí,9.5,1,2018-05-13
3188,2019,Madrid,179.1,Contemporáneo,Intermedio,Si,33.4,Competencia,Local,Sí,2.3,3,2023-07-28
3189,2015,Lima,180.3,Urbano,Principiante,No,23.87,Competencia,Ninguno,No,7.5,4,2019-02-03
3190,2022,Ciudad de México,25.6,Contemporáneo,Élite,Gratis,93.01,Festival,Nike,Sí,11.3,1,2022-09-24
3191,2015,Madrid,278.9,Salsa,Élite,Sí,10.58,Exhibición,Gobierno,No,10.6,4,2019-01-29
3192,2025,Ciudad de México,271.9,Hip Hop,Élite,No,69.9,Competencia,Local,Sí,4.1,3,2017-11-01
3193,2015,Lima,184.4,Urbano,Élite,Sí,18.92,Gala,Ninguno,Sí,10.4,4,2020-05-04
3194,2016,Bogotá,448.2,Urbano,Élite,No,88.16,Exhibición,Adidas,Sí,1.0,5,2024-03-15
3195,2016,Madrid,73.1,Ballet,Principiante,No,96.13,Taller,Ninguno,No,1.2,5,2017-04-29
3196,2020,Caracas,171.7,Salsa,Intermedio,No,46.55,Competencia,Gobierno,No,7.6,4,2015-12-20
3197,2021,Ciudad de México,167.6,Ballet,Intermedio,No,87.91,Taller,Adidas,No,5.0,1,2018-01-03
3198,2019,Caracas,55.2,Urbano,Élite,No,0.51,Competencia,Nike,Sí,5.3,1,2022-12-30
3199,2015,Lima,245.8,Ballet,Élite,No,81.99,Gala,Gobierno,No,7.2,1,2019-10-06
3200,2015,Buenos Aires,347.0,Ballet,Avanzado,Sí,22.86,Gala,Ninguno,No,3.1,4,2024-12-11
3201,2017,Caracas,260.7,Ballet,Avanzado,No,90.87,Competencia,Gobierno,Sí,3.3,1,2019-01-04
3202,2016,Bogotá,86.9,Hip Hop,Avanzado,No,0.11,Competencia,Local,Sí,6.3,3,2017-09-17
3203,2019,Ciudad de México,194.9,Salsa,Avanzado,Sí,55.62,Exhibición,Local,Sí,9.3,5,2018-06-18
3204,2024,Buenos Aires,11.3,Hip Hop,Élite,Sí,75.66,Exhibición,Ninguno,Sí,7.8,3,2023-05-24
3205,2020,Lima,435.5,Contemporáneo,Semiprofesional,Si,25.87,Taller,Local,,4.3,1,2020-02-28
3206,2021,Lima,51.4,Flamenco,Élite,Si,19.31,Competencia,Local,No,5.7,3,2023-10-31
3207,2018,Bogotá,302.7,Hip Hop,Semiprofesional,Sí,8.41,Exhibición,Local,No,2.9,1,2019-12-15
3208,2021,Bogotá,493.3,Salsa,Semiprofesional,Sí,32.64,Gala,Nike,,1.8,4,2023-09-03
3209,2025,Buenos Aires,272.9,Urbano,Principiante,Si,55.98,Festival,Local,No,9.6,3,2021-05-30
3210,2022,Madrid,462.8,Salsa,Élite,No,11.58,Exhibición,Gobierno,Sí,3.9,4,2021-03-06
3211,2025,Buenos Aires,125.7,Urbano,Semiprofesional,No,37.67,Competencia,Gobierno,Sí,3.0,4,2024-05-07
3212,2015,Bogotá,382.4,Ballet,Intermedio,Sí,0.91,Competencia,Gobierno,Sí,8.6,2,2018-01-16
3213,2020,Ciudad de México,270.3,Urbano,Principiante,No,81.87,Gala,Gobierno,,7.8,1,2017-03-28
3214,2022,Buenos Aires,363.1,Urbano,Principiante,Sí,12.84,Festival,Ninguno,Sí,8.0,5,2019-12-05
3215,2019,Madrid,40.5,Salsa,Élite,Sí,28.33,Taller,Ninguno,No,3.5,1,2020-05-14
3216,2018,Madrid,82.4,Contemporáneo,Élite,Sí,1.84,Gala,Ninguno,Sí,3.6,5,2021-09-03
3217,2016,Buenos Aires,75.2,Flamenco,Intermedio,No,43.22,Competencia,Ninguno,Sí,3.4,1,2021-06-30
3218,2020,Bogotá,346.7,Flamenco,Avanzado,Sí,84.01,Festival,Gobierno,No,2.9,4,2023-03-07
3219,2020,Bogotá,423.8,Hip Hop,Avanzado,Si,39.22,Exhibición,Ninguno,Sí,8.2,3,2017-06-07
3220,2025,Lima,377.3,Contemporáneo,Avanzado,Sí,17.95,Competencia,Gobierno,Sí,10.3,3,2020-01-30
3221,2015,Ciudad de México,24.9,Hip Hop,Avanzado,No,75.37,,Nike,Sí,9.0,2,2018-03-26
3222,2023,Bogotá,434.9,Flamenco,Intermedio,Gratis,78.88,Exhibición,Gobierno,No,9.7,5,2016-10-29
3223,2025,Bogotá,183.5,Urbano,Semiprofesional,Gratis,17.38,Exhibición,Gobierno,Sí,5.5,5,2016-09-24
3224,2020,Buenos Aires,204.6,Urbano,Élite,Sí,77.09,Gala,Nike,Sí,8.2,5,2022-03-09
3225,2017,Bogotá,61.4,Urbano,Intermedio,Sí,94.73,Taller,Nike,,4.9,4,2019-07-01
3226,2018,Lima,371.3,Flamenco,Élite,Gratis,16.64,Competencia,Gobierno,Sí,6.8,5,2015-05-17
3227,2025,Bogota,99.3,Contemporáneo,Élite,Sí,77.1,Gala,Ninguno,No,6.3,3,2020-04-30
3228,2018,Lima,286.3,Salsa,Avanzado,No,70.86,Festival,Ninguno,,2.9,4,2019-08-25
3229,2017,Buenos Aires,421.9,Urbano,Semiprofesional,Gratis,47.36,Competencia,Local,Sí,5.3,1,2016-03-03
