ID_Producto,Marca,Modelo,Precio (USD),Talla,Color,Material,Peso (gr),Disponibilidad,Rating,Tipo_Deporte,Garantía (meses),Fecha_Lanzamiento
5113,Nike,Air Max,189.45,9.2,Azul,,232.7,Sí,5,Deporte,12,2020-07-13
5114,Adidas,Ultraboost,171.22,6.7,Rojo,Sintético,359.0,En stock,3,Running,6,2021-05-03
5115,New Balance,RS-X,145.01,5.7,Gris,Malla,338.7,Sí,3,Gym,12,2020-06-05
5116,Adidas,Classic,180.72,6.1,Verde,,244.2,Sí,4,Running,6,2021-09-01
5117,Adidas,Air Max,170.55,6.7,Blanco,Cuero,216.5,Sí,5,Running,-3,2023-06-03
5118,Puma,,77.99,6.1,Rojo Oscuro,Sintético,336.1,Sí,5,Deporte,6,2021-02-15
5119,Nike,Classic,183.88,6.3,Rojo Oscuro,Sintético,330.9,No,5,Deporte,12,2023-05-13
5120,Reebok,Free Run,130.9,7.0,Rojo,Cuero,254.7,Sí,2,Gym,-3,2023-01-07
5121,New Balance,Classic,171.12,6.2,Negro,Malla,390.2,Sí,3,Tenis,24,2023-02-21
5122,Adidas,RS-X,184.41,11.3,Rojo,Sintético,230.2,No,5,Deporte,12,2021-04-15
5123,Adidas,Classic,97.7,5.6,Gris,Cuero,286.5,Sí,5,Gym,24,2023-05-26
5124,Reebok,Free Run,66.51,8.7,Gris,Lona,388.7,No,2,Tenis,-3,2021-05-30
5125,New Balance,RS-X,84.19,7.9,Rojo Oscuro,,283.9,Sí,2,Fútbol,12,2023-02-01
5126,Adidas,Chuck Taylor,114.07,11.9,Azul,,327.7,No,5,Tenis,12,2021-01-27
5127,Nike,Ultraboost,172.7,5.8,Azul,Lona,279.5,Sí,1,Deporte,12,2021-09-22
5128,Under Armour,,179.11,7.8,Azul,Malla,254.8,Sí,5,Running,12,2021-08-30
5129,Reebok,Free Run,51.04,11.8,Blanco,Cuero,396.8,No,5,Running,12,2022-09-06
5130,Nike,Ultraboost,126.61,11.1,Azul,Lona,281.9,No,2,Tenis,12,2021-03-09
5131,Adidas,Ultraboost,112.61,10.7,Rojo Oscuro,Cuero,378.8,No,2,Gym,6,2023-09-16
5132,Adidas,Classic,83.32,6.8,Rojo Oscuro,,246.0,En stock,5,Running,6,2023-03-12
5133,Reebok,Air Max,67.98,6.2,Azul,Lona,242.6,Sí,5,Fútbol,6,2021-06-23
5134,Nike,Chuck Taylor,100.64,9.7,Negro,Cuero,206.2,No,5,Running,6,2020-10-04
5135,Reebok,Classic,191.44,11.5,Verde,Lona,330.3,Sí,2,Basketball,6,2020-08-20
5136,Nike,Free Run,98.48,8.9,Gris,Malla,273.7,Sí,5,Tenis,12,2023-01-18
5137,Adidas,RS-X,127.82,9.0,Azul,Malla,372.9,No,5,Deporte,6,2023-05-07
5138,Reebok,Chuck Taylor,155.45,7.0,Gris,Cuero,294.6,Sí,4,Running,24,2020-12-27
5139,Adidas,Air Max,104.54,10.4,Rojo Oscuro,Sintético,393.6,En stock,1,Basketball,6,2020-01-26
5140,Nike,Free Run,195.77,6.3,Verde,,237.1,En stock,3,Basketball,6,2022-11-14
5141,Puma,Classic,194.37,7.3,Gris,Cuero,373.7,Sí,1,Running,12,2023-11-18
5142,Puma,Classic,87.77,8.0,Negro,Malla,355.3,Sí,4,Fútbol,12,2021-05-21
5143,Adidas,Chuck Taylor,124.59,8.6,Azul,Sintético,354.2,No,3,Deporte,6,2023-08-17
5144,Reebok,Chuck Taylor,95.13,6.7,Gris,Lona,369.0,Sí,5,Basketball,24,2023-09-24
5145,Reebok,Free Run,92.73,5.8,Blanco,Lona,352.2,Sí,4,Running,24,2020-09-23
5146,Reebok,Classic,55.53,9.3,Verde,Sintético,325.2,Sí,5,Basketball,6,2021-04-05
5147,Under Armour,Chuck Taylor,141.43,7.0,Azul,Sintético,226.2,Sí,2,Running,6,2021-03-31
5148,Adidas,Free Run,125.4,9.1,Negro,Malla,206.5,Sí,4,Gym,-3,2023-10-15
5149,Nike,,57.72,6.1,Blanco,Malla,384.2,Sí,2,Running,12,2022-12-27
5150,Nike,Chuck Taylor,91.8,8.4,Rojo,Cuero,323.3,Sí,4,Fútbol,12,2022-10-03
5151,New Balance,Ultraboost,186.24,8.7,Negro,,359.3,Sí,4,Deporte,24,2022-05-12
5152,Puma,RS-X,85.93,5.4,Verde,,296.3,Sí,2,Fútbol,6,2023-12-06
5153,New Balance,Air Max,71.73,7.4,Azul,Lona,223.5,No,3,Fútbol,12,2021-05-05
5154,Under Armour,Free Run,123.42,5.9,Azul,Sintético,225.0,Sí,1,Gym,6,2022-12-08
5155,Adidas,Classic,197.85,5.4,Rojo,Lona,337.1,En stock,5,Gym,12,2021-07-17
5156,Adidas,RS-X,86.31,11.9,Gris,Lona,286.1,En stock,4,Gym,12,2023-01-30
5157,Nike,Chuck Taylor,150.82,7.3,Negro,,240.1,No,5,Tenis,12,2020-08-03
5158,Under Armour,Classic,164.24,10.7,Rojo Oscuro,Malla,298.3,En stock,2,Tenis,6,2021-07-12
5159,Puma,Free Run,85.65,6.8,Rojo Oscuro,,212.8,No,5,Tenis,6,2020-06-07
5160,Under Armour,Free Run,159.23,9.8,Verde,Cuero,316.4,Sí,2,Gym,12,2021-05-03
5161,Reebok,Classic,105.17,10.3,Verde,Malla,253.8,Sí,5,Fútbol,12,2021-11-16
5162,Reebok,Air Max,144.85,9.2,Negro,Malla,359.5,Sí,1,Gym,12,2023-06-19
5163,Nike,Free Run,145.03,8.3,Rojo,Cuero,262.1,Sí,1,Tenis,6,2022-03-04
5164,Nike,RS-X,130.37,7.9,Rojo Oscuro,,291.0,Sí,1,Deporte,24,2020-01-05
5165,Reebok,Chuck Taylor,63.54,7.4,Blanco,Lona,202.3,No,1,Tenis,6,2020-12-26
5166,Puma,Classic,175.3,11.5,Blanco,,214.5,No,1,Deporte,-3,2021-04-03
5167,Reebok,Classic,98.12,10.8,Azul,Sintético,278.5,Sí,1,Fútbol,6,2020-09-04
5168,Reebok,Chuck Taylor,77.98,11.8,Rojo Oscuro,Lona,296.0,Sí,2,Deporte,12,2022-08-03
5169,New Balance,,56.12,5.9,Blanco,Lona,320.0,Sí,4,Running,6,2021-02-25
5170,Nike,Classic,138.63,10.1,Gris,Sintético,258.3,Sí,5,Running,-3,2020-01-15
5171,New Balance,Classic,151.63,11.6,Verde,Lona,339.0,No,1,Tenis,12,2022-01-05
5172,Nike,Classic,52.49,6.3,Verde,Cuero,372.0,Sí,2,Basketball,6,2023-02-19
5173,Adidas,Classic,126.81,5.5,Rojo,,356.0,En stock,2,Basketball,6,2020-10-03
5174,Adidas,Chuck Taylor,83.97,10.2,Gris,Malla,207.9,Sí,2,Basketball,6,2021-03-28
5175,Reebok,Air Max,146.78,9.0,Rojo Oscuro,Lona,296.1,Sí,4,Basketball,6,2023-11-14
5176,Reebok,Chuck Taylor,76.15,10.9,Azul,,221.0,No,5,Basketball,-3,2023-08-10
5177,Puma,RS-X,153.64,6.0,Negro,Lona,248.4,Sí,4,Gym,12,2021-08-20
5178,Reebok,RS-X,108.01,10.6,Gris,Lona,397.3,No,3,Tenis,12,2021-03-21
5179,Adidas,,190.51,6.4,Blanco,Lona,228.5,No,2,Tenis,12,2020-07-28
5180,Puma,Chuck Taylor,70.63,6.1,Rojo,Sintético,299.8,Sí,3,Deporte,12,2021-12-14
5181,Under Armour,,101.16,6.1,Blanco,Malla,323.6,No,1,Deporte,6,2020-10-28
5182,Puma,RS-X,67.02,10.7,Rojo Oscuro,Sintético,340.5,No,1,Tenis,6,2023-05-31
5183,Reebok,RS-X,188.7,9.7,Gris,Cuero,311.9,Sí,4,Deporte,12,2020-01-03
5184,New Balance,Ultraboost,181.6,8.7,Rojo Oscuro,Sintético,202.0,Sí,5,Gym,-3,2022-09-16
5185,Addidas,Free Run,88.69,7.5,Verde,,265.3,No,3,Fútbol,6,2023-01-21
5186,Nike,RS-X,149.0,11.1,Negro,,303.5,Sí,5,Gym,6,2021-06-03
5187,Nike,Air Max,172.58,7.7,Negro,Cuero,217.6,No,4,Running,12,2023-12-22
5188,Adidas,Chuck Taylor,133.28,10.7,Negro,Cuero,270.1,Sí,1,Tenis,-3,2021-05-07
5189,Nike,Ultraboost,129.45,8.1,Gris,Lona,206.6,Sí,5,Tenis,6,2023-06-12
5190,Nike,Free Run,86.28,7.6,Rojo Oscuro,,215.7,Sí,5,Running,12,2021-09-11
5191,Under Armour,Chuck Taylor,63.97,8.2,Rojo Oscuro,,279.4,En stock,1,Running,24,2023-03-30
5192,Under Armour,RS-X,184.58,7.1,Rojo Oscuro,Malla,226.5,No,3,Running,6,2020-11-26
5193,Adidas,,185.06,10.2,Azul,Sintético,313.5,Sí,1,Deporte,6,2020-11-28
5194,Puma,Air Max,144.97,8.5,Rojo,,337.9,No,5,Deporte,12,2020-02-19
5195,New Balance,Classic,100.85,6.6,Verde,Lona,360.1,Sí,3,Fútbol,-3,2022-05-12
5196,Adidas,,102.38,11.3,Verde,Malla,240.0,Sí,3,Basketball,6,2020-09-28
5197,Puma,Ultraboost,158.89,7.7,Blanco,,233.5,En stock,1,Tenis,12,2021-08-02
5198,Nike,Classic,184.57,8.8,Verde,Cuero,220.9,En stock,5,Basketball,12,2023-06-29
5199,New Balance,Free Run,183.06,11.3,Azul,Lona,327.3,No,4,Deporte,12,2021-07-13
5200,New Balance,Classic,166.98,9.4,Azul,Cuero,341.3,Sí,5,Gym,12,2021-11-26
5201,Reebok,RS-X,146.3,5.8,Rojo,,206.3,Sí,2,Tenis,12,2023-01-18
5202,Under Armour,Chuck Taylor,62.62,11.6,Verde,Cuero,387.2,Sí,4,Basketball,12,2021-03-21
5203,Under Armour,Classic,74.24,9.4,Rojo Oscuro,Cuero,210.4,Sí,3,Basketball,12,2022-10-13
5204,Nike,Chuck Taylor,184.78,7.3,Azul,Cuero,308.3,No,4,Gym,12,2023-09-17
5205,Puma,Classic,140.96,6.0,Negro,Lona,341.8,Sí,3,Tenis,12,2023-03-08
5206,Under Armour,Classic,51.38,10.6,Azul,Malla,374.2,Sí,3,Gym,24,2020-12-22
5207,Reebok,Free Run,65.22,9.3,Rojo Oscuro,Cuero,342.8,No,4,Fútbol,6,2020-09-30
5208,Under Armour,,149.53,8.7,Rojo,Cuero,360.3,Sí,3,Gym,24,2022-11-08
5209,Reebok,Air Max,50.76,11.3,Blanco,Cuero,267.9,Sí,3,Deporte,24,2020-11-06
5210,Puma,Ultraboost,74.12,10.5,Gris,Malla,363.0,Sí,2,Gym,6,2022-05-19
5211,Adidas,Ultraboost,132.31,6.1,Azul,Malla,216.0,No,5,Deporte,12,2022-06-04
5212,Adidas,Air Max,153.78,7.2,Azul,Sintético,379.0,Sí,5,Gym,12,2020-06-02
5213,New Balance,Ultraboost,147.79,6.7,Azul,Cuero,309.5,En stock,2,Tenis,6,2023-11-14
5214,Reebok,Chuck Taylor,83.64,10.2,Rojo Oscuro,Sintético,363.5,Sí,4,Basketball,6,2023-07-07
5215,New Balance,RS-X,156.83,5.2,Verde,Malla,290.5,Sí,1,Basketball,6,2021-09-11
5216,Nike,Free Run,85.59,9.0,Blanco,Cuero,328.7,Sí,1,Deporte,6,2022-06-01
5217,Addidas,Ultraboost,98.81,10.3,Verde,Sintético,305.3,Sí,1,Deporte,24,2022-03-07
5218,Puma,Ultraboost,161.97,11.1,Verde,Cuero,346.3,En stock,2,Fútbol,6,2020-05-04
5219,New Balance,Free Run,147.44,7.4,Gris,Sintético,216.3,Sí,2,Basketball,24,2023-10-09
5220,Nike,Free Run,177.38,10.7,Rojo Oscuro,Sintético,212.1,En stock,3,Deporte,12,2023-07-20
5221,Nike,Chuck Taylor,148.64,5.8,Negro,,249.4,Sí,1,Running,24,2021-09-10
5222,Under Armour,Air Max,135.25,10.9,Negro,Lona,231.9,Sí,4,Deporte,12,2020-09-01
5223,Under Armour,Ultraboost,64.05,5.9,Verde,Malla,374.4,Sí,4,Gym,6,2022-04-27
5224,Nike,Air Max,105.16,7.8,Gris,Sintético,243.8,Sí,1,Basketball,12,2021-03-25
5225,Nkie,Classic,89.78,10.6,Rojo Oscuro,Sintético,395.2,Sí,1,Gym,6,2022-07-18
5226,Under Armour,Classic,86.6,6.0,Rojo,Malla,267.4,No,1,Fútbol,12,2023-06-24
5227,Adidas,RS-X,195.95,6.6,Blanco,Cuero,236.4,En stock,2,Deporte,-3,2021-06-03
5228,Adidas,Free Run,108.96,10.1,Rojo Oscuro,,357.9,No,2,Tenis,6,2023-03-10
5229,New Balance,RS-X,183.81,10.0,Verde,,331.7,No,2,Running,6,2020-12-27
5230,Nike,,144.67,9.5,Negro,Sintético,299.6,Sí,5,Running,12,2020-01-08
5231,New Balance,Ultraboost,169.22,9.9,Rojo,Cuero,311.1,En stock,4,Running,24,2021-04-22
5232,Adidas,Free Run,125.4,8.8,Blanco,Lona,343.8,No,4,Gym,12,2023-10-07
5233,Adidas,RS-X,136.54,6.8,Verde,Malla,245.7,No,3,Basketball,6,2021-05-09
5234,Nkie,Free Run,123.88,7.4,Gris,Malla,399.3,No,2,Tenis,12,2022-04-12
5235,Adidas,Ultraboost,79.29,6.3,Blanco,,395.0,No,5,Basketball,6,2023-12-21
5236,Nike,Chuck Taylor,158.37,11.4,Blanco,Sintético,330.1,Sí,5,Deporte,12,2022-11-28
5237,Under Armour,Free Run,92.12,9.1,Negro,,239.9,En stock,4,Basketball,-3,2021-08-15
5238,Adidas,Classic,53.65,7.8,Negro,Malla,336.0,Sí,2,Running,12,2020-07-05
5239,Adidas,,146.82,8.2,Rojo,Sintético,214.4,Sí,3,Running,24,2022-01-23
5240,Adidas,RS-X,76.57,11.6,Negro,Cuero,206.1,Sí,2,Fútbol,6,2020-04-02
5241,Under Armour,RS-X,191.07,6.1,Rojo,,251.5,Sí,1,Tenis,12,2020-03-26
5242,Nike,Air Max,193.09,9.1,Verde,Cuero,292.5,No,2,Deporte,24,2022-12-03
5243,Adidas,Chuck Taylor,187.23,8.5,Rojo,Sintético,373.7,Sí,1,Deporte,6,2020-05-16
5244,Puma,Chuck Taylor,105.52,9.3,Rojo,Lona,345.4,No,1,Basketball,24,2021-02-24
5245,Adidas,Classic,52.32,5.1,Rojo Oscuro,Lona,348.5,Sí,3,Gym,6,2020-03-14
5246,Reebok,Chuck Taylor,189.25,11.1,Blanco,Sintético,285.1,Sí,4,Tenis,12,2023-03-25
5247,Reebok,Free Run,114.23,11.5,Negro,Lona,269.2,Sí,2,Gym,24,2023-07-02
5248,Puma,,195.0,9.0,Gris,Lona,274.2,Sí,1,Gym,12,2020-06-19
5249,Puma,Ultraboost,194.54,9.9,Negro,Malla,397.5,No,2,Deporte,6,2020-06-18
5250,New Balance,Chuck Taylor,177.95,11.5,Azul,Lona,208.0,En stock,4,Deporte,12,2022-05-21
5251,Nike,,94.17,10.0,Azul,Cuero,373.4,No,4,Deporte,12,2020-11-17
5252,Puma,Chuck Taylor,107.76,6.1,Azul,Lona,315.7,No,5,Gym,-3,2021-03-31
5253,Reebok,Classic,177.67,9.0,Blanco,Cuero,287.7,Sí,4,Basketball,12,2022-08-01
5254,Under Armour,Ultraboost,97.54,9.2,Verde,Lona,345.1,No,3,Running,6,2022-02-28
5255,Nike,Chuck Taylor,75.42,8.0,Azul,Malla,297.3,No,1,Gym,12,2021-09-04
5256,Reebok,Free Run,133.52,10.2,Rojo Oscuro,Cuero,374.7,En stock,5,Basketball,12,2023-03-24
5257,Reebok,Free Run,190.42,11.5,Rojo,Malla,380.1,Sí,3,Basketball,12,2022-06-07
5258,Under Armour,Free Run,154.4,11.5,Azul,,284.3,Sí,2,Gym,12,2020-12-14
5259,Adidas,Classic,135.51,8.2,Gris,Malla,255.4,Sí,1,Basketball,24,2023-04-11
5260,Nike,,64.58,5.8,Rojo Oscuro,Malla,318.5,Sí,4,Tenis,12,2020-01-10
5261,Nike,RS-X,142.25,11.9,Gris,Malla,382.5,No,1,Basketball,12,2022-01-09
