ID_Cliente,Nombre_Gimnasio,Edad,Sexo,Tipo_Membresia,Actividad_Favorita,Frecuencia_Semanal,Método_Pago,Nivel,Fecha_Ingreso,Peso (kg),Altura (m),Satisfacción,Profesión
3076,Wellness Club,38,Masculino,Semanal,Baile,3-4 días,tarjeta,AVANZADO,2023-06-16,ochenta,1.6,7,Empleado
3077,MuscleLab,42,Femenino,Semanal,spinning,5+ días,Pago móvil,principiante,2022-08-09,118.9,1.59,3,Estudiante
3078,MuscleLab,22,Masculino,mensual,Pesas,1 día,efectivo,Intermedio,2023-09-27,115.4,1.63,9,Desemplead@
3079,FitZone,42,Masculino,trimestral,Yoga,1 día,efectivo,AVANZADO,2022-11-19,79.0,1.76,2,Desemplead@
3080,MuscleLab,50,Masculino,trimestral,spinning,1-2 días,Tarjeta,AVANZADO,2022-01-03,59.9,1.56,3,independiente
3081,Urban Fitness,40,masculino,trimestral,Yoga,5+ días,efectivo,principiante,2023-11-25,57.4,1.2,2,Desemplead@
3082,MuscleLab,22,Masculino,Anual,Boxeo,3-4 días,efectivo,Intermedio,2022-07-25,63.0,2.5,1,Desempleado
3083,GymPro,64,Masculino,Trimestral,spinning,1 día,Transferencia,principiante,2022-02-09,98.3,uno setenta,4,Empleado
3084,FitZone,42,Femenino,Anual,Yoga,1 día,Transferencia,Intermedio,2022-02-28,65.5,,5,independiente
3085,GymPro,42,Masculino,ANUAL,Pesas,1-2 días,tarjeta,principiante,2023-07-28,70.6,1.95,6,Desemplead@
3086,GymPro,51,Femenino,ANUAL,Spinning,3 días,Tarjeta,AVANZADO,2023-10-06,78.7,uno ochenta,5,Estudiante
3087,Vitality,55,Femenino,Trimestral,Pilates,3-4 días,Efectivo,AVANZADO,2023-05-22,113.5,1.85,1,Otro
3088,FitZone,50,Masculino,mensual,Pilates,5+ días,Divisas,Principiante,2023-07-26,59.2,1.61,3,Independiente
3089,GymPro,41,Masculino,Trimestral,Pesas,1 día,Tarjeta,Avanzado,2022-05-02,45.4,1.52,1,Independiente
3090,Vitality,31,Femenino,Semanal,Baile,1 día,Tarjeta,principiante,2023-04-24,49.5,1.68,5,Desempleado
3091,Vitality,23,Masculino,ANUAL,Spinning,3-4 días,Pago móvil,Principiante,2023-09-11,112.9,1.55,0,EMPLEADO
3092,FitZone,47,Masculino,Mensual,Boxeo,3 días,tarjeta,Avanzado,2022-04-06,93.6,1.56,11,Estudiante
3093,BodyTech,34,Masculino,Mensual,Pesas,1 día,Pago móvil,principiante,2023-02-18,65.5,1.63,5,EMPLEADO
3094,Wellness Club,27,Masculino,mensual,Pilates,3-4 días,Tarjeta,Intermedio,2022-08-23,58.3,1.65,diez,Empleado
3095,Urban Fitness,42,Masculino,Semanal,Pilates,1-2 días,Tarjeta,Avanzado,2022-03-03,67.1,1.76,,Otro
3096,Wellness Club,62,FEMENINO,Anual,Pilates,3 días,Tarjeta,AVANZADO,2022-09-13,53.6,1.84,8,Empleado
3097,MuscleLab,43,Masculino,Semanal,Funcional,5+ días,efectivo,Principiante,2023-07-15,115.6,1.8,10,independiente
3098,Urban Fitness,27,Masculino,Mensual,Pesas,1 día,Divisas,Avanzado,2022-12-14,103.8,1.57,1,Estudiante
3099,MuscleLab,60,masculino,Mensual,Crossfit,3-4 días,Divisas,Avanzado,2023-11-02,79.7,1.59,9,independiente
3100,GymPro,49,femenino,ANUAL,Boxeo,1-2 días,Pago móvil,AVANZADO,2022-05-04,109.9,1.94,7,estudiante
3101,PowerGym,20,Femenino,Semanal,Pilates,5+ días,Tarjeta,principiante,2023-04-27,63.7,1.78,7,Desemplead@
3102,FitZone,32,Femenino,Semanal,Yoga,3-4 días,Divisas,Intermedio,2022-11-13,98.8,1.93,5,Independiente
3103,Urban Fitness,19,Femenino,Mensual,Pesas,3-4 días,Transferencia,AVANZADO,2023-05-19,109.2,1.69,7,independiente
3104,Urban Fitness,61,Femenino,Anual,Funcional,5+ días,Divisas,Intermedio,2023-12-20,71.8,1.81,2,EMPLEADO
3105,GymPro,39,Masculino,mensual,Pesas,1-2 días,tarjeta,principiante,2022-02-17,101.8,1.76,4,estudiante
3106,BodyTech,16,Masculino,trimestral,Boxeo,1-2 días,tarjeta,Avanzado,2023-02-13,67.1,1.66,7,Independiente
3107,Vitality,24,Masculino,mensual,Funcional,3 días,Divisas,Intermedio,2022-05-16,67.4,1.73,3,independiente
3108,GymPro,44,Femenino,Semanal,Boxeo,1 día,Transferencia,Principiante,2022-07-20,53.0,1.75,2,estudiante
3109,Gimnasio Élite,64,Masculino,mensual,Pesas,5+ días,tarjeta,Principiante,2022-09-07,78.0,1.6,10,estudiante
3110,Vitality,59,Masculino,Mensual,Crossfit,5+ días,efectivo,AVANZADO,2022-11-10,99.7,1.66,2,Estudiante
3111,FitZone,19,Masculino,Mensual,Boxeo,5+ días,Divisas,principiante,2023-01-03,115.5,1.9,1,Empleado
3112,Vitality,47,Otro,Semanal,Funcional,1-2 días,efectivo,AVANZADO,2023-03-05,90.3,1.96,5,estudiante
3113,BodyTech,15,Masculino,Semanal,Funcional,1 día,Divisas,AVANZADO,2023-04-25,109.7,1.68,6,Desempleado
3114,Vitality,32,Femenino,trimestral,Boxeo,3 días,Efectivo,AVANZADO,2022-11-10,106.7,1.65,6,Empleado
3115,FitZone,46,Masculino,trimestral,crossfit,3-4 días,Efectivo,Principiante,2023-05-15,58.0,1.6,9,Independiente
3116,BodyTech,61,Femenino,ANUAL,Pesas,3-4 días,Efectivo,Principiante,2023-12-22,81.4,1.84,4,Independiente
3117,Wellness Club,63,Femenino,Semanal,crossfit,5+ días,tarjeta,AVANZADO,2022-12-21,53.8,1.66,1,Independiente
3118,Urban Fitness,25,Masculino,Anual,Baile,1 día,efectivo,Principiante,2023-04-30,96.2,1.99,6,Independiente
3119,Urban Fitness,35,Femenino,mensual,Pesas,1-2 días,efectivo,principiante,2022-07-30,116.2,1.66,5,Desempleado
3120,MuscleLab,40,Masculino,Semanal,Boxeo,1 día,efectivo,AVANZADO,2023-12-05,55.3,1.7,10,independiente
3121,Wellness Club,39,Femenino,Trimestral,Spinning,1 día,Transferencia,Principiante,2022-02-13,100.0,1.8,6,Otro
3122,Wellness Club,36,Masculino,ANUAL,Boxeo,1-2 días,efectivo,Intermedio,2023-06-25,92.4,1.9,3,estudiante
3123,Vitality,41,Femenino,Trimestral,crossfit,5+ días,Transferencia,AVANZADO,2023-07-25,88.8,1.73,2,Independiente
3124,Urban Fitness,63,masculino,Mensual,Crossfit,1 día,Efectivo,AVANZADO,2023-08-06,74.3,1.71,6,Empleado
3125,FitZone,27,Masculino,trimestral,Boxeo,3-4 días,Efectivo,principiante,2022-04-02,71.6,2.0,1,Empleado
3126,StrongLife,47,Femenino,mensual,Boxeo,1-2 días,tarjeta,Avanzado,2022-09-22,48.4,1.51,7,estudiante
3127,StrongLife,48,Masculino,Semanal,Crossfit,3 días,Divisas,Avanzado,2022-08-08,61.3,1.95,7,independiente
3128,BodyTech,55,FEMENINO,Trimestral,Boxeo,5+ días,Efectivo,principiante,2023-03-18,46.1,1.57,10,Otro
3129,Urban Fitness,49,Masculino,mensual,Pilates,1-2 días,Divisas,principiante,2023-02-05,88.6,1.89,7,independiente
3130,Urban Fitness,15,Femenino,Mensual,Spinning,3 días,Divisas,principiante,2023-02-04,52.9,1.81,10,estudiante
3131,StrongLife,35,Masculino,trimestral,Yoga,3 días,tarjeta,Avanzado,2023-12-28,110.5,1.67,1,EMPLEADO
3132,Urban Fitness,62,Masculino,Anual,Spinning,1 día,Tarjeta,principiante,2023-07-30,84.2,1.94,4,Desempleado
3133,Vitality,20,Masculino,ANUAL,Boxeo,1 día,Tarjeta,Principiante,2023-05-05,97.5,1.51,7,estudiante
3134,Gimnasio Élite,42,Masculino,mensual,Pilates,1 día,Pago móvil,AVANZADO,2023-04-30,75.8,1.61,9,Desemplead@
3135,PowerGym,31,Femenino,mensual,Pesas,1-2 días,tarjeta,AVANZADO,2023-04-15,87.0,1.78,5,Estudiante
3136,Wellness Club,19,Femenino,Anual,Boxeo,1-2 días,Pago móvil,Intermedio,2023-07-28,115.7,1.68,2,Estudiante
3137,MuscleLab,45,Masculino,mensual,crossfit,5+ días,Pago móvil,Intermedio,2023-11-13,51.2,1.81,7,independiente
3138,BodyTech,19,Femenino,Mensual,Pilates,1 día,Tarjeta,AVANZADO,2023-03-21,64.0,1.51,10,estudiante
3139,Gimnasio Élite,52,Femenino,Mensual,Crossfit,3 días,tarjeta,Principiante,2022-09-26,103.5,1.56,1,estudiante
3140,StrongLife,17,Otro,Anual,Pilates,3-4 días,Tarjeta,Avanzado,2022-09-24,52.4,1.56,7,Estudiante
3141,Wellness Club,37,Masculino,ANUAL,Crossfit,5+ días,Pago móvil,Avanzado,2022-02-23,50.7,1.59,6,Otro
3142,Urban Fitness,51,Masculino,Semanal,Baile,1-2 días,tarjeta,Principiante,2023-06-12,72.1,1.73,7,Estudiante
3143,MuscleLab,51,Masculino,Trimestral,Yoga,5+ días,Pago móvil,Avanzado,2023-06-04,51.9,1.88,10,estudiante
3144,Urban Fitness,24,Masculino,Semanal,spinning,5+ días,efectivo,principiante,2023-09-08,88.9,1.95,3,Otro
3145,FitZone,24,Masculino,mensual,Pilates,5+ días,Divisas,AVANZADO,2022-02-28,62.0,1.92,3,Independiente
3146,FitZone,33,Masculino,Trimestral,Funcional,5+ días,tarjeta,AVANZADO,2022-02-09,112.2,1.6,7,Desemplead@
3147,MuscleLab,31,Femenino,Anual,crossfit,3-4 días,tarjeta,Principiante,2022-08-25,103.8,1.72,2,EMPLEADO
3148,MuscleLab,35,Femenino,Anual,Boxeo,1 día,Divisas,Avanzado,2023-01-21,97.5,1.6,1,Desempleado
3149,StrongLife,28,Masculino,ANUAL,crossfit,3 días,Pago móvil,Intermedio,2023-08-29,91.3,1.63,9,Independiente
3150,MuscleLab,23,Masculino,Trimestral,Spinning,5+ días,efectivo,Intermedio,2023-12-17,109.8,1.75,9,Empleado
3151,Vitality,60,Femenino,Mensual,spinning,5+ días,Transferencia,Avanzado,2023-10-12,61.7,1.53,7,Estudiante
3152,Urban Fitness,15,Femenino,Trimestral,Spinning,5+ días,Divisas,Intermedio,2022-10-27,110.5,1.61,7,Desemplead@
3153,Gimnasio Élite,59,Femenino,mensual,Baile,1 día,Tarjeta,Principiante,2023-01-30,104.2,1.97,3,Estudiante
3154,GymPro,27,Femenino,Mensual,spinning,1-2 días,Pago móvil,Principiante,2022-07-26,101.1,1.73,10,Estudiante
3155,MuscleLab,18,Masculino,trimestral,spinning,1-2 días,Divisas,Avanzado,2022-12-02,87.1,1.72,2,Independiente
3156,BodyTech,15,Femenino,trimestral,Spinning,3-4 días,Divisas,Intermedio,2023-08-16,63.5,1.51,7,EMPLEADO
3157,FitZone,63,Masculino,trimestral,Crossfit,1-2 días,tarjeta,Principiante,2023-12-31,76.8,1.62,9,Otro
3158,Vitality,54,Masculino,Anual,Spinning,5+ días,Tarjeta,Principiante,2023-05-29,104.5,1.93,1,Estudiante
3159,Wellness Club,46,Masculino,Trimestral,crossfit,5+ días,Tarjeta,principiante,2022-06-27,47.4,1.58,4,independiente
3160,GymPro,48,Masculino,trimestral,Crossfit,5+ días,Tarjeta,principiante,2023-01-31,103.7,1.71,6,estudiante
3161,Gimnasio Élite,42,Femenino,Semanal,crossfit,3-4 días,Divisas,Principiante,2023-01-06,63.0,1.51,7,Desemplead@
3162,GymPro,45,Masculino,ANUAL,Baile,5+ días,Transferencia,Avanzado,2023-10-20,55.8,1.74,10,independiente
3163,MuscleLab,22,Femenino,Semanal,Boxeo,1-2 días,Efectivo,AVANZADO,2022-11-14,53.7,1.51,7,Independiente
3164,StrongLife,53,Femenino,trimestral,Pesas,1 día,Pago móvil,AVANZADO,2023-01-04,47.0,1.91,10,Independiente
3165,FitZone,40,femenino,ANUAL,Crossfit,1 día,Efectivo,Principiante,2023-01-19,84.3,1.91,2,EMPLEADO
3166,FitZone,48,Femenino,mensual,Baile,3 días,Divisas,Principiante,2022-03-03,61.4,1.89,4,EMPLEADO
3167,Wellness Club,17,Femenino,Semanal,Funcional,1-2 días,Efectivo,Principiante,2023-05-20,119.2,1.64,5,Otro
3168,StrongLife,64,Masculino,Trimestral,Baile,5+ días,Divisas,Avanzado,2022-08-27,88.1,1.92,1,estudiante
3169,Urban Fitness,26,Femenino,Trimestral,Spinning,1 día,Efectivo,principiante,2022-07-14,55.3,1.77,1,Desemplead@
3170,PowerGym,15,Masculino,Semanal,Spinning,1-2 días,Tarjeta,Principiante,2023-11-09,96.7,1.69,10,estudiante
3171,Vitality,58,Femenino,trimestral,Pesas,1 día,efectivo,Principiante,2022-08-10,112.3,1.81,3,Empleado
3172,FitZone,19,Otro,Trimestral,Baile,5+ días,Tarjeta,Intermedio,2022-03-02,100.9,1.51,10,EMPLEADO
3173,BodyTech,44,Masculino,mensual,Yoga,1 día,Tarjeta,Avanzado,2022-05-09,50.7,1.57,3,Otro
3174,FitZone,44,Masculino,Mensual,Boxeo,3 días,tarjeta,Principiante,2023-11-16,112.2,1.87,8,Desempleado
3175,GymPro,31,femenino,trimestral,Spinning,3 días,tarjeta,Intermedio,2022-06-05,104.5,1.62,9,Estudiante
3176,FitZone,62,Femenino,mensual,Pesas,1 día,Efectivo,AVANZADO,2023-01-13,56.9,1.8,1,Estudiante
3177,FitZone,61,femenino,ANUAL,Boxeo,1-2 días,Divisas,Principiante,2023-09-14,48.9,1.69,2,Desempleado
3178,PowerGym,37,Femenino,mensual,Baile,1-2 días,Tarjeta,Principiante,2023-08-09,86.8,1.93,10,estudiante
3179,PowerGym,29,Masculino,trimestral,Baile,1-2 días,Efectivo,Intermedio,2023-03-13,56.7,1.98,2,Desempleado
3180,Gimnasio Élite,51,Femenino,ANUAL,spinning,1 día,tarjeta,Avanzado,2022-07-26,107.6,1.94,4,Otro
3181,Urban Fitness,35,Masculino,trimestral,Pesas,1-2 días,efectivo,Principiante,2023-01-23,71.9,1.64,2,Desemplead@
3182,BodyTech,28,Femenino,Trimestral,Spinning,5+ días,Pago móvil,AVANZADO,2023-04-25,113.5,1.6,7,Desempleado
3183,FitZone,16,Masculino,Mensual,Yoga,3 días,Efectivo,Principiante,2022-12-06,87.4,1.74,9,Otro
3184,FitZone,25,Masculino,trimestral,Baile,5+ días,efectivo,AVANZADO,2022-12-06,58.7,1.5,7,EMPLEADO
3185,Vitality,53,femenino,trimestral,Yoga,1-2 días,Pago móvil,principiante,2022-07-23,55.5,1.51,6,independiente
3186,PowerGym,52,Femenino,Trimestral,Baile,5+ días,Transferencia,principiante,2022-06-10,88.2,1.78,10,Independiente
3187,BodyTech,48,Masculino,Anual,Spinning,1-2 días,Efectivo,AVANZADO,2023-06-24,102.1,1.76,1,Independiente
3188,Wellness Club,52,Masculino,Trimestral,Boxeo,1 día,Efectivo,Avanzado,2023-01-27,103.6,2.0,10,Empleado
3189,Gimnasio Élite,64,Femenino,ANUAL,Pilates,5+ días,Transferencia,Principiante,2023-11-08,65.7,1.6,9,estudiante
3190,Urban Fitness,48,Femenino,Trimestral,Boxeo,1 día,Transferencia,Principiante,2023-07-29,60.3,1.63,5,Desemplead@
3191,StrongLife,32,Femenino,Trimestral,Baile,1 día,Efectivo,principiante,2023-06-18,46.3,1.56,5,independiente
3192,Urban Fitness,44,Masculino,Mensual,crossfit,3-4 días,Transferencia,AVANZADO,2022-03-11,95.9,1.96,6,independiente
3193,GymPro,29,Masculino,Trimestral,Pilates,1-2 días,Tarjeta,Principiante,2023-02-09,50.7,1.89,9,EMPLEADO
3194,FitZone,41,Masculino,trimestral,Pilates,3 días,Pago móvil,Principiante,2023-08-31,76.6,1.91,8,Desempleado
3195,Gimnasio Élite,48,Femenino,Mensual,Yoga,1-2 días,Pago móvil,Avanzado,2023-11-06,90.1,1.95,8,estudiante
3196,GymPro,52,Femenino,Semanal,Pesas,3 días,Pago móvil,Intermedio,2023-08-14,115.3,1.76,8,Estudiante
3197,BodyTech,47,Femenino,Anual,Yoga,1-2 días,Tarjeta,principiante,2023-06-01,68.4,1.73,1,independiente
3198,StrongLife,38,masculino,Mensual,Yoga,1 día,Divisas,principiante,2022-04-30,63.7,1.67,1,Otro
3199,PowerGym,29,Femenino,ANUAL,crossfit,5+ días,Transferencia,Intermedio,2023-11-21,94.1,1.79,8,Estudiante
3200,Gimnasio Élite,44,Femenino,Semanal,Boxeo,5+ días,efectivo,Principiante,2023-11-19,91.4,1.73,5,Empleado
3201,Gimnasio Élite,56,Femenino,Mensual,Boxeo,3-4 días,Transferencia,Avanzado,2022-08-05,69.9,1.73,9,Desempleado
3202,FitZone,31,Masculino,Mensual,Funcional,3 días,Efectivo,Avanzado,2022-02-25,114.6,1.97,2,Desempleado
3203,MuscleLab,19,masculino,Anual,Baile,3 días,tarjeta,principiante,2023-01-01,108.4,1.99,9,Desemplead@
3204,Gimnasio Élite,43,Masculino,trimestral,crossfit,3 días,Pago móvil,Avanzado,2023-11-30,61.8,1.9,8,independiente
3205,Vitality,18,Masculino,ANUAL,Funcional,1 día,Transferencia,Intermedio,2023-05-19,62.9,1.88,9,EMPLEADO
3206,StrongLife,24,Masculino,mensual,Spinning,3 días,efectivo,Principiante,2023-03-31,83.4,1.84,4,Independiente
3207,StrongLife,31,Femenino,mensual,Baile,5+ días,Efectivo,Intermedio,2022-04-14,103.0,1.58,1,Otro
3208,Vitality,24,femenino,Mensual,Baile,1 día,Tarjeta,AVANZADO,2022-03-18,48.3,1.53,1,Estudiante
3209,Wellness Club,31,Masculino,Trimestral,spinning,1-2 días,Divisas,principiante,2022-08-18,97.0,1.85,5,Empleado
3210,Vitality,34,Masculino,ANUAL,spinning,3 días,Tarjeta,Avanzado,2022-09-15,93.6,1.86,2,Independiente
