ID_Producto,Marca,Categoria,Sistema_Operativo,Nivel_Rendimiento,Estado_Equipo,Garantia,Tipo_Uso,RAM_GB,Almacenamiento_GB,Numero_Puertos,Anos_Garantia,Precio_USD,Peso_KG,Pantalla_Pulgadas,Benchmark_Score
21142,lenovo chromebook,  Gama Baja,Chrome OS ,Regular, Nuevo ,6 MESES, Oficina ,8.0,128,12,3,389.82,1.63,11.2,100.0
21143, HP Pavilion ,GAMA MEDIA, Windows ,BUENO,USADO,3 años,GAMING,16.0,1024,8,2,1017.83,2.4,13.2,100.0
21144,Dell Precision,Workstation , Windows ,bueno,Como Nuevo,1 AÑO, Estudio ,32.0,1024,8,3,4118.91,2.96,15.4,100.0
21145,asus vivobook, Gama Media , Windows ,Bueno,Como Nuevo,1 AÑO,DISEÑO,4.0,512,11,2,622.28,1.83,14.9,100.0
21146,DELL INSPIRON,  Gama Media,  Windows,EXCELENTE,nuevo, 1 Año , Oficina ,12.0,256,7,1,997.98,1.25,13.8,100.0
21147, Lenovo Chromebook ,gama baja,Chrome OS ,bueno,usado,2 Años,Gaming,8.0,128,5,1,364.0,1.9,12.5,100.0
21148,asus rog,GAMING,WINDOWS, bajo , Reacondicionado ,sin garantia,DISEÑO,16.0,2048,7,2,2118.53,3.07,15.5,100.0
21149,DELL INSPIRON, Gama Media ,WINDOWS,BAJO,Como Nuevo,3 Años, Estudio ,16.0,512,2,2,615.39,1.69,13.1,100.0
21150,lenovo ideapad,Gama Media,windows,BAJO, Reacondicionado ,Sin Garantía,Estudio,12.0,256,3,2,596.5,1.36,15.7,100.0
21151,Lenovo ThinkStation,  Workstation,Windows,REGULAR,REACONDICIONADO,3 AÑOS, Oficina ,-8.0,1024,12,3,,4.2,16.6,100.0
21152, ASUS Chromebook ,GAMA BAJA,CHROME OS,REGULAR, Dañado ,2 Años,oficina,8.0,64,2,1,311.13,1.59,13.2,100.0
21153,ASUS VivoBook,gama media, Windows ,Bueno,Nuevo,1 AÑO,gaming,8.0,256,11,1,659.0,1.37,13.9,100.0
21154, Lenovo Chromebook ,GAMA BAJA,chrome os,BAJO,NUEVO,1 AÑO,Diseño,4.0,256,5,2,321.23,1.36,14.0,100.0
21155,hp spectre,PREMIUM, Windows ,EXCELENTE,Nuevo,2 Años, Programacion ,8.0,512,7,1,2090.39,,13.3,100.0
21156,dell inspiron,GAMA MEDIA,Windows , bajo ,Usado,SIN GARANTIA,  Oficina  ,16.0,1024,2,1,528.55,1.44,13.9,100.0
21157, Lenovo IdeaPad ,Gama Media ,Windows ,BAJO,COMO NUEVO,2 Años, Estudio ,16.0,256,4,2,504.02,2.37,13.2,
21158,ACER CHROMEBOOK,Gama Baja,  Chrome OS,regular,Como Nuevo,Sin Garantía,estudio,8.0,64,3,3,395.59,1.11,12.2,100.0
21159,DELL INSPIRON,gama media, Windows ,Regular,dañado,2 AÑOS,GAMING,16.0,256,4,0,1175.58,2.33,15.5,100.0
21160,dell inspiron,gama media,WINDOWS,excelente, Dañado ,1 AÑO,PROGRAMACION,12.0,256,11,1,934.91,2.41,14.7,100.0
21161,dell xps,premium,Windows, regular ,Dañado, 1 Año ,gaming,8.0,512,6,0,2100.39,1.28,15.3,100.0
21162,ASUS Chromebook, Gama Baja , Chrome OS ,EXCELENTE,reacondicionado,1 año,ESTUDIO,8.0,256,8,2,277.63,1.51,11.7,100.0
21163,dell inspiron,  Gama Media,WINDOWS,regular, Nuevo ,3 años,estudio,4.0,1024,3,2,491.87,1.99,13.9,100.0
21164, HP ZBook ,workstation,windows,BAJO,usado, 6 Meses , Diseño ,16.0,2048,10,2,2891.53,3.83,15.1,100.0
21165,DELL PRECISION,  Workstation, Windows ,BAJO, Como Nuevo ,6 MESES,Programacion,16.0,4096,10,1,2678.11,2.84,15.1,100.0
21166,DELL XPS,premium,windows,excelente,usado, Sin Garantia ,DISEÑO,24.0,100000,12,2,2331.16,1.76,14.8,100.0
21167,Dell Inspiron,Gama Media,WINDOWS,excelente, Nuevo ,Sin Garantia, Diseño ,12.0,512,12,0,777.26,1.74,14.0,
21168,ALIENWARE, Gaming ,WINDOWS, regular ,nuevo,6 Meses,gaming,16.0,1024,8,2,1798.07,2.13,16.5,100.0
21169,DELL INSPIRON, Gama Media ,WINDOWS,regular, Como Nuevo ,2 años, Diseño ,16.0,256,9,3,859.58,2.29,13.4,100.0
21170, HP Spectre ,PREMIUM,WINDOWS,EXCELENTE,reacondicionado,2 AÑOS,Oficina,16.0,256,3,1,1294.58,1.16,15.4,100.0
21171,HP ZBOOK,Workstation ,Windows ,EXCELENTE, Dañado , 1 Año ,OFICINA,,-256,3,1,3462.11,3.81,15.7,100.0
21172,Acer Chromebook, Gama Baja ,  Chrome OS,Bajo,REACONDICIONADO, 2 Años ,Diseño,8.0,256,12,2,354.15,,12.1,100.0
21173,HP Stream, Gama Baja ,WINDOWS,BAJO,NUEVO, Sin Garantia ,Programacion,8.0,256,7,2,338.8,1.3,15.2,100.0
21174,MSI GAMING,Gaming,Windows ,excelente, Nuevo , 6 Meses ,DISEÑO,24.0,2048,6,2,2789.11,2.77,16.1,100.0
21175,razer,gaming,Windows,BAJO, Reacondicionado , 6 Meses , Estudio ,24.0,2048,8,0,3766.18,3.25,15.2,100.0
21176,LENOVO THINKPAD, Premium ,Windows ,BUENO, Dañado , 3 Años ,ESTUDIO,32.0,256,100,3,1435.85,1.14,15.4,100.0
21177,Dell XPS, Premium ,windows,REGULAR,dañado,2 Años,PROGRAMACION,32.0,512,8,-2,,1.53,15.7,100.0
21178,ASUS VivoBook,Gama Media ,Windows, bajo ,Nuevo,6 meses, Gaming ,8.0,512,7,2,587.03,,15.2,100.0
21179, ASUS VivoBook ,  Gama Media,windows,Bueno,Dañado,3 Años,oficina,16.0,512,-5,1,420.12,1.94,15.3,100.0
21180,HP STREAM,Gama Baja,  Windows,excelente,DAÑADO,1 Año,oficina,8.0,128,12,50,446.38,1.11,15.5,100.0
